frame_index,timestamp_sec,x_rel,y_rel,z_rel,qw,qx,qy,qz,confidence,layer,orientation_source,scale_status
0,8.067000000,0.00182094428,-0.000918298266,0.00018041495,0.999999911,-0.000382830276,0.000118875536,0.00012941996,1,fitted_bspline,raw_camera_orientation,relative_only
1,8.217000000,-0.000697943333,0.00175060363,-0.00882405831,0.99977122,0.0120159124,-0.00340608098,0.0173644634,1,fitted_bspline,raw_camera_orientation,relative_only
2,8.417000000,-0.00407022528,0.00528564963,-0.0208618613,0.999493729,0.0142721181,-0.015728859,0.0236895618,1,fitted_bspline,raw_camera_orientation,relative_only
3,8.567000000,-0.00660756586,0.00791985588,-0.0299045596,0.999302461,0.0170394687,-0.0252665607,0.0215835381,1,fitted_bspline,raw_camera_orientation,relative_only
4,8.767000000,-0.00999830651,0.0114101506,-0.0419666374,0.998999861,0.0219478845,-0.0387247541,0.00423801412,1,fitted_bspline,raw_camera_orientation,relative_only
5,8.917000000,-0.0125448822,0.0140119256,-0.0510075229,0.998189273,0.0385402851,-0.0459828997,0.00428890766,1,fitted_bspline,raw_camera_orientation,relative_only
6,9.117000000,-0.015941791,0.0174604883,-0.0630404915,0.997361704,0.0421257756,-0.0517315094,0.028616442,1,fitted_bspline,raw_camera_orientation,relative_only
7,9.267000000,-0.0184883839,0.0200320964,-0.0720395261,0.997694702,0.0318513603,-0.051706706,0.0302851295,1,fitted_bspline,raw_camera_orientation,relative_only
8,9.417000000,-0.0210321624,0.022591469,-0.0810083681,0.997143071,0.0310277046,-0.0507896715,0.0465122296,1,fitted_bspline,raw_camera_orientation,relative_only
9,9.617000000,-0.0244165627,0.0259856518,-0.0929071474,0.996269113,0.046404809,-0.0497024321,0.0531424161,1,fitted_bspline,raw_camera_orientation,relative_only
10,9.767000000,-0.02694719,0.0285180924,-0.101776941,0.996118798,0.052189715,-0.0495333127,0.050695412,1,fitted_bspline,raw_camera_orientation,relative_only
11,9.967000000,-0.0303079102,0.0318778753,-0.113516965,0.995872549,0.0446073093,-0.0498573338,0.0613375896,1,fitted_bspline,raw_camera_orientation,relative_only
12,10.117000000,-0.0328161684,0.0343856483,-0.122247673,0.996101059,0.0398975426,-0.0507926018,0.0600914143,1,fitted_bspline,raw_camera_orientation,relative_only
13,10.267000000,-0.0353120182,0.0368835426,-0.130906516,0.99566581,0.0485307601,-0.0494131242,0.0620701436,1,fitted_bspline,raw_camera_orientation,relative_only
14,10.467000000,-0.0386175893,0.0401994203,-0.14233123,0.994892522,0.0507076721,-0.0472711975,0.0733691699,1,fitted_bspline,raw_camera_orientation,relative_only
15,10.617000000,-0.0410779016,0.0426758817,-0.150811619,0.993352184,0.0660508958,-0.0458939051,0.0823557415,1,fitted_bspline,raw_camera_orientation,relative_only
16,10.817000000,-0.0443299443,0.045964692,-0.162006975,0.992277964,0.0651741969,-0.0469039119,0.0945345934,1,fitted_bspline,raw_camera_orientation,relative_only
17,10.967000000,-0.0467455013,0.048421985,-0.170323507,0.991851154,0.0653155519,-0.0462758586,0.0991146354,1,fitted_bspline,raw_camera_orientation,relative_only
18,11.167000000,-0.049931725,0.0516867469,-0.18131127,0.992429946,0.0696362223,-0.0470461355,0.0895559013,1,fitted_bspline,raw_camera_orientation,relative_only
19,11.317000000,-0.0522933088,0.0541271358,-0.189480268,0.990397443,0.0920008315,-0.0445638007,0.0930742722,1,fitted_bspline,raw_camera_orientation,relative_only
20,11.467000000,-0.0546289394,0.0565609734,-0.197591035,0.989776211,0.0954224222,-0.0441265438,0.0963870454,1,fitted_bspline,raw_camera_orientation,relative_only
21,11.667000000,-0.0576998157,0.0597966178,-0.208319991,0.990154065,0.0880654746,-0.0449670938,0.0990825968,1,fitted_bspline,raw_camera_orientation,relative_only
22,11.817000000,-0.0599683048,0.0622167862,-0.216306543,0.989920822,0.0898243718,-0.0442991392,0.100129589,1,fitted_bspline,raw_camera_orientation,relative_only
23,12.017000000,-0.0629435138,0.0654357146,-0.226880761,0.989956055,0.0812746273,-0.0457284501,0.106256069,1,fitted_bspline,raw_camera_orientation,relative_only
24,12.167000000,-0.0651356435,0.0678444781,-0.234759422,0.98979978,0.0794402223,-0.0460293047,0.108935533,1,fitted_bspline,raw_camera_orientation,relative_only
25,12.317000000,-0.0672922259,0.0702490469,-0.242596842,0.990239289,0.0799845397,-0.0398509253,0.106960402,1,fitted_bspline,raw_camera_orientation,relative_only
26,12.517000000,-0.070109447,0.0734493327,-0.252991374,0.990289044,0.0732722457,-0.0291567211,0.114493112,1,fitted_bspline,raw_camera_orientation,relative_only
