frame_index,timestamp_sec,x_rel,y_rel,z_rel,qw,qx,qy,qz,confidence,layer,orientation_source,scale_status
0,8.067000000,-9.35704156e-06,-2.04103941e-07,-4.6313879e-08,0.999999911,-0.000382830276,0.000118875536,0.00012941996,1,filtered_kalman,raw_camera_orientation,relative_only
1,8.217000000,-0.00390048046,0.00406472152,-0.0120845838,0.99977122,0.0120159124,-0.00340608098,0.0173644634,1,filtered_kalman,raw_camera_orientation,relative_only
2,8.417000000,-0.0068332069,0.00792729092,-0.0232224756,0.999493729,0.0142721181,-0.015728859,0.0236895618,1,filtered_kalman,raw_camera_orientation,relative_only
3,8.567000000,-0.00836613512,0.00962823955,-0.0311397863,0.999302461,0.0170394687,-0.0252665607,0.0215835381,1,filtered_kalman,raw_camera_orientation,relative_only
4,8.767000000,-0.0109625602,0.0122355203,-0.0409058274,0.998999861,0.0219478845,-0.0387247541,0.00423801412,1,filtered_kalman,raw_camera_orientation,relative_only
5,8.917000000,-0.012479774,0.0137533242,-0.048437108,0.998189273,0.0385402851,-0.0459828997,0.00428890766,1,filtered_kalman,raw_camera_orientation,relative_only
6,9.117000000,-0.015101382,0.0169245858,-0.0610843875,0.997361704,0.0421257756,-0.0517315094,0.028616442,1,filtered_kalman,raw_camera_orientation,relative_only
7,9.267000000,-0.0174113014,0.0194761579,-0.0705151591,0.997694702,0.0318513603,-0.051706706,0.0302851295,1,filtered_kalman,raw_camera_orientation,relative_only
8,9.417000000,-0.0197186286,0.022093406,-0.0800520231,0.997143071,0.0310277046,-0.0507896715,0.0465122296,1,filtered_kalman,raw_camera_orientation,relative_only
9,9.617000000,-0.0226591923,0.0253909343,-0.0918328011,0.996269113,0.046404809,-0.0497024321,0.0531424161,1,filtered_kalman,raw_camera_orientation,relative_only
10,9.767000000,-0.0251145365,0.0276206543,-0.0998784136,0.996118798,0.052189715,-0.0495333127,0.050695412,1,filtered_kalman,raw_camera_orientation,relative_only
11,9.967000000,-0.0282100938,0.0305737017,-0.111444413,0.995872549,0.0446073093,-0.0498573338,0.0613375896,1,filtered_kalman,raw_camera_orientation,relative_only
12,10.117000000,-0.0307408688,0.032683557,-0.120222145,0.996101059,0.0398975426,-0.0507926018,0.0600914143,1,filtered_kalman,raw_camera_orientation,relative_only
13,10.267000000,-0.0332997737,0.0351258285,-0.129001472,0.99566581,0.0485307601,-0.0494131242,0.0620701436,1,filtered_kalman,raw_camera_orientation,relative_only
14,10.467000000,-0.0367916851,0.0383063165,-0.141289104,0.994892522,0.0507076721,-0.0472711975,0.0733691699,1,filtered_kalman,raw_camera_orientation,relative_only
