frame_index,timestamp_sec,x_rel,y_rel,z_rel,qw,qx,qy,qz,vx_relative,vy_relative,vz_relative,wx_proxy,wy_proxy,wz_proxy,innovation_norm,covariance_trace,pose_semantics,scale_status
0,8.067000000,-9.35704156e-06,-2.04103941e-07,-4.6313879e-08,0.999999911,-0.000382830276,0.000118875536,0.00012941996,-0.487478804,0.509252694,-1.51394732,5.62002146,-1.60181007,7.81389216,0,6.00004719,camera_pose_proxy,relative_only
1,8.217000000,-0.00390048046,0.00406472152,-0.0120845838,0.99977122,0.0120159124,-0.00340608098,0.0173644634,-0.487478804,0.509252694,-1.51394732,5.62002146,-1.60181007,7.81389216,3.49815378e-18,1.98576115,camera_pose_proxy,relative_only
2,8.417000000,-0.00683320331,0.00792728844,-0.0232224677,0.999361894,0.0177318409,-0.0138806719,0.0277256799,-0.34457165,0.410578383,-1.1987367,3.30501203,-2.7834979,5.24624317,0.0465791463,0.695028833,camera_pose_proxy,relative_only
3,8.567000000,-0.0083661276,0.00962823003,-0.0311397758,0.999134346,0.0199594249,-0.0233491416,0.0280534764,-0.286741005,0.335702101,-1.12030637,2.41080655,-3.34395815,3.42598468,0.0402956843,0.336977822,camera_pose_proxy,relative_only
4,8.767000000,-0.0109625507,0.0122355012,-0.040905791,0.998886342,0.0240084924,-0.0365061223,0.0178036713,-0.270624581,0.301525353,-1.04394893,1.92217494,-3.81475453,0.899013791,0.0694136267,0.168446851,camera_pose_proxy,relative_only
5,8.917000000,-0.012479757,0.013753297,-0.0484370751,0.998335405,0.0334352212,-0.0454347677,0.0120077904,-0.251465699,0.27503421,-1.02006096,2.429108,-3.90806397,0.0529543599,0.0371421137,0.100929134,camera_pose_proxy,relative_only
6,9.117000000,-0.0151013719,0.0169245822,-0.0610844465,0.997462244,0.0413698569,-0.0544308191,0.0198719108,-0.25012182,0.281032508,-1.06406509,2.53021847,-3.66986858,0.725954303,0.034745894,0.0623411349,camera_pose_proxy,relative_only
7,9.267000000,-0.0174113113,0.0194761723,-0.0705152443,0.997159063,0.0408779094,-0.0581109219,0.0250183933,-0.256933182,0.287733413,-1.08443367,2.07480982,-3.30484694,1.01874368,0.0412358431,0.0424169299,camera_pose_proxy,relative_only
8,9.417000000,-0.0197186528,0.0220934374,-0.0800521364,0.996792179,0.0402918477,-0.0601206101,0.0341677053,-0.261944124,0.293996223,-1.10164302,1.75047247,-2.90332567,1.5128777,0.0563701434,0.0305529961,camera_pose_proxy,relative_only
9,9.617000000,-0.0226592273,0.0253909764,-0.0918328899,0.996066441,0.0457813491,-0.0620677671,0.043626895,-0.264568489,0.296892725,-1.10260743,1.80790251,-2.48334158,1.80515385,0.047830489,0.0221723928,camera_pose_proxy,relative_only
10,9.767000000,-0.0251145995,0.0276206725,-0.0998783997,0.995617963,0.0505062057,-0.0619378164,0.0485561713,-0.269979451,0.294685454,-1.09070574,1.8691478,-2.16481273,1.84044744,0.0369164629,0.0168101525,camera_pose_proxy,relative_only
11,9.967000000,-0.0282101763,0.0305736893,-0.111444393,0.995058988,0.0525578137,-0.0627683938,0.0561730922,-0.273127235,0.292089374,-1.09010762,1.71809037,-1.86691474,1.94794994,0.0457869669,0.0128521601,camera_pose_proxy,relative_only
12,10.117000000,-0.030740987,0.0326835137,-0.12022214,0.994866448,0.0518448779,-0.0625169755,0.0603695946,-0.277745748,0.289169824,-1.09111327,1.51847483,-1.6462272,1.94418756,0.0460818292,0.0101483153,camera_pose_proxy,relative_only
13,10.267000000,-0.0332999261,0.0351258178,-0.129001478,0.994585894,0.0534829156,-0.0619745196,0.0640127877,-0.281958706,0.290822194,-1.09197476,1.45478601,-1.45700946,1.90913657,0.0364770523,0.00820414143,camera_pose_proxy,relative_only
14,10.467000000,-0.0367919262,0.0383063297,-0.141289267,0.99402713,0.055975216,-0.0616493199,0.0705422024,-0.287526704,0.291789591,-1.09952561,1.40088567,-1.26125879,1.93899455,0.0412451822,0.00665718094,camera_pose_proxy,relative_only
15,10.617000000,-0.0394562397,0.0407626221,-0.150550982,0.993399719,0.060569449,-0.0602729174,0.0765213355,-0.2914752,0.293149697,-1.10471365,1.4781982,-1.10198418,1.99051555,0.042477189,0.00550789112,camera_pose_proxy,relative_only
16,10.817000000,-0.0429672471,0.0442073861,-0.162968058,0.992457195,0.0648697509,-0.0598838769,0.0850561736,-0.295538823,0.296377848,-1.11127075,1.49816785,-0.966597582,2.07663334,0.0412028905,0.00457508932,camera_pose_proxy,relative_only
17,10.967000000,-0.0455207337,0.0464474366,-0.171924788,0.991764323,0.0675002937,-0.0588167553,0.0915850835,-0.297374129,0.295191667,-1.11208634,1.49310411,-0.852015499,2.13537109,0.0371349501,0.00386093305,camera_pose_proxy,relative_only
18,11.167000000,-0.0488593896,0.0496537745,-0.183211006,0.991075227,0.0713036307,-0.0584956056,0.0962494229,-0.298910559,0.29576342,-1.1072267,1.48489719,-0.764232426,2.07624434,0.0335465101,0.00327015667,camera_pose_proxy,relative_only
19,11.317000000,-0.0514740111,0.0521895954,-0.191716543,0.990351726,0.0776994216,-0.0572868083,0.099420727,-0.300841444,0.297241047,-1.10441915,1.58951782,-0.68999053,2.01999543,0.0495217764,0.00280589893,camera_pose_proxy,relative_only
20,11.467000000,-0.0539975217,0.0544996262,-0.200192791,0.989608702,0.0835746748,-0.056233687,0.102604403,-0.30182886,0.296735115,-1.10167579,1.66743606,-0.626586973,1.97147584,0.0437358686,0.00243329249,camera_pose_proxy,relative_only
21,11.667000000,-0.057236484,0.0577096581,-0.21149171,0.988776422,0.0882518737,-0.0558026594,0.106859053,-0.302032574,0.297132137,-1.09841811,1.66982223,-0.568797253,1.92134738,0.0323825004,0.0021146816,camera_pose_proxy,relative_only
22,11.817000000,-0.0597454755,0.0602046573,-0.219901152,0.988256254,0.091474132,-0.0549672588,0.109364802,-0.302753589,0.298037758,-1.09578548,1.66406334,-0.517695822,1.86909782,0.0341487531,0.00185453597,camera_pose_proxy,relative_only
23,12.017000000,-0.0629161428,0.0637407209,-0.231047433,0.987576634,0.0938145702,-0.0547425432,0.113553827,-0.302393992,0.300580305,-1.09218211,1.60705236,-0.47120664,1.832767,0.0410462847,0.00162987056,camera_pose_proxy,relative_only
24,12.167000000,-0.0652337654,0.0663644417,-0.239341432,0.987208233,0.0945438462,-0.0542869567,0.116336979,-0.301746777,0.30209147,-1.08932773,1.54418417,-0.43093545,1.80016674,0.0445570692,0.00144366386,camera_pose_proxy,relative_only
25,12.317000000,-0.067493605,0.0690137267,-0.247472083,0.986959235,0.0952550667,-0.0530091194,0.118439746,-0.300779642,0.303638607,-1.08565727,1.48747813,-0.376422549,1.75238604,0.0547353662,0.00128745872,camera_pose_proxy,relative_only
26,12.517000000,-0.0705614464,0.072466926,-0.258087069,0.986559315,0.0957536499,-0.0505691115,0.122371243,-0.299950924,0.305016274,-1.07981696,1.41259763,-0.290500769,1.71868769,0.0751629615,0.00114986421,camera_pose_proxy,relative_only
27,12.667000000,-0.0727543943,0.0751310382,-0.26588978,0.986453352,0.0946521491,-0.0480096887,0.125083274,-0.298739454,0.306397025,-1.07490289,1.33139225,-0.212876343,1.69036647,0.0792694697,0.00103301801,camera_pose_proxy,relative_only
28,12.867000000,-0.0756181832,0.0787362601,-0.27648397,0.986448377,0.091435972,-0.0456584608,0.128352516,-0.296917569,0.308384175,-1.07002083,1.1931556,-0.135970726,1.65226944,0.117925909,0.000929461881,camera_pose_proxy,relative_only
29,13.017000000,-0.0777658733,0.0814520133,-0.284380068,0.986904035,0.0849418366,-0.0434227815,0.130076022,-0.295672391,0.309807666,-1.06640897,1.01685307,-0.0641681923,1.61341938,0.151661239,0.000840639229,camera_pose_proxy,relative_only
30,13.217000000,-0.0806487628,0.0851605775,-0.295072708,0.987150217,0.0765435987,-0.0416458612,0.133944572,-0.294251028,0.312023005,-1.06287052,0.804764457,0.00253945579,1.59873526,0.183742886,0.000761452431,camera_pose_proxy,relative_only
31,13.367000000,-0.0828535581,0.0879610561,-0.302682958,0.987705277,0.0653881402,-0.0401702205,0.136194827,-0.293497284,0.313645438,-1.05829577,0.567476441,0.0628318171,1.57916025,0.217334287,0.000692895319,camera_pose_proxy,relative_only
32,13.517000000,-0.0849204256,0.0906105193,-0.310227448,0.988165176,0.0571985162,-0.0384347184,0.137042645,-0.292091673,0.31438884,-1.05369492,0.399925653,0.114319792,1.53312152,0.17143826,0.000633215743,camera_pose_proxy,relative_only
33,13.717000000,-0.0875901187,0.0940831266,-0.32069841,0.98837359,0.0519137197,-0.036319264,0.138215498,-0.289932573,0.31501156,-1.05003889,0.292063116,0.160167611,1.47438224,0.130238166,0.000579369798,camera_pose_proxy,relative_only
34,13.867000000,-0.0895012446,0.0967993217,-0.328662406,0.98861149,0.0472681467,-0.0341664743,0.138728859,-0.287999962,0.315978591,-1.04803723,0.206701571,0.202928226,1.42714796,0.112743485,0.000532010037,camera_pose_proxy,relative_only
35,14.067000000,-0.0921401342,0.100273468,-0.339242709,0.988601237,0.0426527352,-0.0317625867,0.140852676,-0.286023643,0.316494323,-1.04537679,0.127003953,0.245502528,1.39265732,0.10728075,0.000489119347,camera_pose_proxy,relative_only
36,14.217000000,-0.0938813287,0.102847652,-0.347066097,0.988709933,0.0381227597,-0.0295610448,0.141864257,-0.283571299,0.316711018,-1.04301917,0.0547800799,0.283680576,1.3592625,0.104027395,0.000451137021,camera_pose_proxy,relative_only
37,14.367000000,-0.0956396939,0.105326874,-0.354831754,0.988855815,0.0337454494,-0.0275338666,0.142363298,-0.281338277,0.316495252,-1.04054423,-0.0114729741,0.316212924,1.31967439,0.104592284,0.000417439379,camera_pose_proxy,relative_only
38,14.567000000,-0.0981162421,0.108610594,-0.365302859,0.988841071,0.029882213,-0.0253696297,0.143724635,-0.279118734,0.316132147,-1.03795786,-0.0646657056,0.344414364,1.28087056,0.0933330838,0.000386670336,camera_pose_proxy,relative_only
