frame_index,timestamp_sec,x_rel,y_rel,z_rel,qw,qx,qy,qz,confidence,layer,orientation_source,scale_status
0,8.067000000,-0.0353529829,0.0496323248,-0.0572987185,0.999999911,-0.000382830276,0.000118875536,0.00012941996,1,smoothed_rts,raw_camera_orientation,relative_only
1,8.217000000,-0.0360486232,0.051006366,-0.0644894718,0.99977122,0.0120159124,-0.00340608098,0.0173644634,1,smoothed_rts,raw_camera_orientation,relative_only
2,8.417000000,-0.0369761435,0.0528384208,-0.0740771427,0.999493729,0.0142721181,-0.015728859,0.0236895618,1,smoothed_rts,raw_camera_orientation,relative_only
3,8.567000000,-0.0376717837,0.0542124617,-0.0812678957,0.999302461,0.0170394687,-0.0252665607,0.0215835381,1,smoothed_rts,raw_camera_orientation,relative_only
4,8.767000000,-0.0385993034,0.0560445157,-0.0908555657,0.998999861,0.0219478845,-0.0387247541,0.00423801412,1,smoothed_rts,raw_camera_orientation,relative_only
5,8.917000000,-0.0392949428,0.0574185556,-0.0980463174,0.998189273,0.0385402851,-0.0459828997,0.00428890766,1,smoothed_rts,raw_camera_orientation,relative_only
6,9.117000000,-0.040222461,0.0592506073,-0.107633985,0.997361704,0.0421257756,-0.0517315094,0.028616442,1,smoothed_rts,raw_camera_orientation,relative_only
7,9.267000000,-0.0409180988,0.0606246448,-0.114824734,0.997694702,0.0318513603,-0.051706706,0.0302851295,1,smoothed_rts,raw_camera_orientation,relative_only
8,9.417000000,-0.0416137358,0.0619986811,-0.122015482,0.997143071,0.0310277046,-0.0507896715,0.0465122296,1,smoothed_rts,raw_camera_orientation,relative_only
9,9.617000000,-0.0425412497,0.0638307264,-0.131603142,0.996269113,0.046404809,-0.0497024321,0.0531424161,1,smoothed_rts,raw_camera_orientation,relative_only
10,9.767000000,-0.0432368834,0.0652047577,-0.138793884,0.996118798,0.052189715,-0.0495333127,0.050695412,1,smoothed_rts,raw_camera_orientation,relative_only
11,9.967000000,-0.044164392,0.0670367949,-0.148381535,0.995872549,0.0446073093,-0.0498573338,0.0613375896,1,smoothed_rts,raw_camera_orientation,relative_only
12,10.117000000,-0.0448600209,0.0684108189,-0.155572269,0.996101059,0.0398975426,-0.0507926018,0.0600914143,1,smoothed_rts,raw_camera_orientation,relative_only
13,10.267000000,-0.0455556476,0.0697848396,-0.162762999,0.99566581,0.0485307601,-0.0494131242,0.0620701436,1,smoothed_rts,raw_camera_orientation,relative_only
14,10.467000000,-0.0464831454,0.0716168598,-0.172350631,0.994892522,0.0507076721,-0.0472711975,0.0733691699,1,smoothed_rts,raw_camera_orientation,relative_only
15,10.617000000,-0.047178765,0.072990869,-0.179541349,0.993352184,0.0660508958,-0.0458939051,0.0823557415,1,smoothed_rts,raw_camera_orientation,relative_only
16,10.817000000,-0.0481062519,0.0748228718,-0.189128962,0.992277964,0.0651741969,-0.0469039119,0.0945345934,1,smoothed_rts,raw_camera_orientation,relative_only
