frame_index,timestamp_sec,x_rel,y_rel,z_rel,qw,qx,qy,qz,confidence,layer,orientation_source,scale_status
0,8.082000000,-0.000665297488,0.000831751118,0.000419129977,0.999999884,0.00027771132,0.000363992814,-0.000152583603,1,fitted_bspline,raw_camera_orientation,relative_only
1,8.233326633,0.00103698434,0.00183751292,-0.00761548063,0.999997214,0.00218035018,0.000820442187,-0.00038147006,1,fitted_bspline,raw_camera_orientation,relative_only
2,8.384653266,0.00251080722,0.00313901623,-0.0164590112,0.999991346,0.00135866042,-0.00390218843,-0.000484428477,1,fitted_bspline,raw_camera_orientation,relative_only
3,8.535979899,0.00375309872,0.00471781528,-0.0260037503,0.999625048,0.00343624286,-0.0224017775,-0.0153660733,1,fitted_bspline,raw_camera_orientation,relative_only
4,8.687306533,0.00476078645,0.0065554643,-0.0361419867,0.998093889,0.00424687567,-0.053267843,-0.030872165,1,fitted_bspline,raw_camera_orientation,relative_only
5,8.838633166,0.00553079797,0.00863351751,-0.0467660089,0.996974167,0.00693890321,-0.0684691074,-0.0361433634,1,fitted_bspline,raw_camera_orientation,relative_only
6,8.989959799,0.00606006088,0.0109335291,-0.0577681057,0.996228758,0.00643794231,-0.0786690028,-0.0360278056,1,fitted_bspline,raw_camera_orientation,relative_only
7,9.141286432,0.00634550277,0.0134370534,-0.0690405656,0.99548062,0.0121589353,-0.0869098051,-0.0362929998,1,fitted_bspline,raw_camera_orientation,relative_only
8,9.292613065,0.00638405122,0.0161256446,-0.0804756773,0.99399681,0.0188818418,-0.101151354,-0.0371782403,1,fitted_bspline,raw_camera_orientation,relative_only
9,9.443939698,0.0061726338,0.0189808568,-0.0919657294,0.992721529,0.0192087625,-0.11293924,-0.037144553,1,fitted_bspline,raw_camera_orientation,relative_only
10,9.595266332,0.00570817812,0.0219842444,-0.103403011,0.990898491,0.03496848,-0.122007237,-0.0448510838,1,fitted_bspline,raw_camera_orientation,relative_only
11,9.746592965,0.00498761175,0.0251173616,-0.11467981,0.987803796,0.0437332551,-0.139982219,-0.0523071826,1,fitted_bspline,raw_camera_orientation,relative_only
12,9.897919598,0.00400786228,0.0283617625,-0.125688415,0.986834072,0.0485233948,-0.144043715,-0.0552756998,1,fitted_bspline,raw_camera_orientation,relative_only
13,10.049246231,0.0027658573,0.0316990015,-0.136321115,0.986347319,0.0496148178,-0.14448696,-0.0614886604,1,fitted_bspline,raw_camera_orientation,relative_only
14,10.200572864,0.00125852439,0.0351106327,-0.146511606,0.985164414,0.036459799,-0.14979518,-0.0753867656,1,fitted_bspline,raw_camera_orientation,relative_only
15,10.351899497,-0.000517208871,0.0385782103,-0.15635921,0.983501836,0.0167165244,-0.157106864,-0.0881029507,1,fitted_bspline,raw_camera_orientation,relative_only
16,10.503226131,-0.00256441489,0.0420832887,-0.166004656,0.981359979,0.0119027454,-0.163562332,-0.100191218,1,fitted_bspline,raw_camera_orientation,relative_only
17,10.654552764,-0.00488616608,0.0456074219,-0.175588674,0.979795043,0.00607111102,-0.169090721,-0.106644937,1,fitted_bspline,raw_camera_orientation,relative_only
18,10.805879397,-0.00748553486,0.0491321644,-0.185251993,0.977187473,0.0109558288,-0.175502052,-0.119095094,1,fitted_bspline,raw_camera_orientation,relative_only
19,10.957206030,-0.0103655936,0.0526390702,-0.195135342,0.974661023,0.0129351061,-0.183194639,-0.127703947,1,fitted_bspline,raw_camera_orientation,relative_only
20,11.108532663,-0.0135294148,0.0561096936,-0.205337662,0.9729871,0.0105635716,-0.194045986,-0.124622103,1,fitted_bspline,raw_camera_orientation,relative_only
21,11.259859296,-0.0169800709,0.0595255888,-0.215790735,0.972047862,0.0214010222,-0.198474604,-0.123583097,1,fitted_bspline,raw_camera_orientation,relative_only
22,11.411185930,-0.0207206341,0.0628683101,-0.226384555,0.970314149,0.0396590995,-0.20816042,-0.116562638,1,fitted_bspline,raw_camera_orientation,relative_only
23,11.562512563,-0.0247541771,0.0661194117,-0.237009115,0.967938848,0.0437305685,-0.217202458,-0.118343215,1,fitted_bspline,raw_camera_orientation,relative_only
24,11.713839196,-0.0290837721,0.0692604478,-0.24755441,0.965644688,0.0433648708,-0.22823091,-0.116449461,1,fitted_bspline,raw_camera_orientation,relative_only
25,11.865165829,-0.0337124916,0.0722729727,-0.257910433,0.963155986,0.0426117327,-0.237508226,-0.118762915,1,fitted_bspline,raw_camera_orientation,relative_only
26,12.016492462,-0.0386423119,0.0751442056,-0.267991339,0.962635998,0.0429835963,-0.240490294,-0.116827925,1,fitted_bspline,raw_camera_orientation,relative_only
27,12.167819095,-0.0438708246,0.0778840262,-0.277807932,0.961309357,0.0420188793,-0.246606272,-0.115343316,1,fitted_bspline,raw_camera_orientation,relative_only
28,12.319145729,-0.0493945253,0.0805079792,-0.287395178,0.960694162,0.0413140299,-0.248751645,-0.116114154,1,fitted_bspline,raw_camera_orientation,relative_only
29,12.470472362,-0.0552099095,0.0830316094,-0.296788044,0.960277619,0.040929259,-0.250292034,-0.116385514,1,fitted_bspline,raw_camera_orientation,relative_only
30,12.621798995,-0.0613134727,0.0854704615,-0.306021493,0.958946875,0.0404037044,-0.255503154,-0.116217768,1,fitted_bspline,raw_camera_orientation,relative_only
31,12.773125628,-0.0677017106,0.0878400802,-0.315130494,0.955993736,0.0390396959,-0.266223422,-0.116948574,1,fitted_bspline,raw_camera_orientation,relative_only
32,12.924452261,-0.0743711185,0.0901560102,-0.324150011,0.953856129,0.0415077666,-0.272740188,-0.118525863,1,fitted_bspline,raw_camera_orientation,relative_only
33,13.075778894,-0.0813181922,0.0924337964,-0.33311501,0.951900417,0.0405665921,-0.279463679,-0.118911729,1,fitted_bspline,raw_camera_orientation,relative_only
34,13.227105528,-0.088539427,0.0946889834,-0.342060456,0.951056305,0.0397772999,-0.283353726,-0.116706202,1,fitted_bspline,raw_camera_orientation,relative_only
35,13.378432161,-0.0960313185,0.0969371159,-0.351021317,0.947633949,0.0432154831,-0.293742012,-0.11763482,1,fitted_bspline,raw_camera_orientation,relative_only
36,13.529758794,-0.103790362,0.0991937387,-0.360032558,0.947801092,0.0481173932,-0.293640557,-0.114599435,1,fitted_bspline,raw_camera_orientation,relative_only
37,13.681085427,-0.111813054,0.101474396,-0.369129143,0.946602704,0.0504260048,-0.297742425,-0.112915839,1,fitted_bspline,raw_camera_orientation,relative_only
38,13.832412060,-0.120095889,0.103794634,-0.37834604,0.945542572,0.0522086077,-0.301341878,-0.1114297,1,fitted_bspline,raw_camera_orientation,relative_only
39,13.983738693,-0.128602272,0.106165657,-0.387835092,0.943293057,0.0696269532,-0.307421488,-0.104126482,1,fitted_bspline,raw_camera_orientation,relative_only
40,14.135065327,-0.137163248,0.108581314,-0.398215651,0.939799927,0.0768441072,-0.318260418,-0.0978845542,1,fitted_bspline,raw_camera_orientation,relative_only
41,14.286391960,-0.14557677,0.111031114,-0.410223948,0.939695075,0.0794286946,-0.31708191,-0.10061467,1,fitted_bspline,raw_camera_orientation,relative_only
42,14.437718593,-0.153640791,0.113504569,-0.42332217,0.938775434,0.0792671948,-0.321014771,-0.0967828155,1,fitted_bspline,raw_camera_orientation,relative_only
43,14.589045226,-0.161153265,0.115991186,-0.431876333,0.937291431,0.0786255116,-0.324747122,-0.0992073996,1,fitted_bspline,raw_camera_orientation,relative_only
44,14.740371859,-0.167912144,0.118480476,-0.42897841,0.935617182,0.082754225,-0.329943727,-0.0943894232,1,fitted_bspline,raw_camera_orientation,relative_only
45,14.891698492,-0.173938673,0.120961948,-0.424886144,0.936428813,0.0830032643,-0.329358366,-0.0879465908,1,fitted_bspline,raw_camera_orientation,relative_only
46,15.043025126,-0.180147252,0.123425112,-0.458706291,0.936494346,0.0795362279,-0.330861042,-0.0847543515,1,fitted_bspline,raw_camera_orientation,relative_only
47,15.194351759,-0.187675569,0.125859478,-0.466953983,0.9352894,0.0847834916,-0.333698851,-0.0817959375,1,fitted_bspline,raw_camera_orientation,relative_only
48,15.345678392,-0.197282181,0.128254555,-0.484712441,0.936009941,0.0852367993,-0.333037924,-0.0755368718,1,fitted_bspline,raw_camera_orientation,relative_only
49,15.497005025,-0.208209105,0.130599852,-0.508109968,0.93666329,0.0828059941,-0.335320407,-0.0580109689,1,fitted_bspline,raw_camera_orientation,relative_only
50,15.648331658,-0.219319227,0.132884881,-0.513661413,0.936437433,0.0825869555,-0.337884607,-0.0458074364,1,fitted_bspline,raw_camera_orientation,relative_only
51,15.799658291,-0.229538669,0.135090179,-0.504528257,0.936904374,0.0819319859,-0.338432314,-0.030998597,1,fitted_bspline,raw_camera_orientation,relative_only
52,15.950984925,-0.23804651,0.137160406,-0.542539792,0.935250348,0.0920514542,-0.341557049,-0.0131186296,1,fitted_bspline,raw_camera_orientation,relative_only
53,16.102311558,-0.244085065,0.139031249,-0.557870224,0.93653067,0.0979261573,-0.336564479,-0.00671737118,1,fitted_bspline,raw_camera_orientation,relative_only
54,16.253638191,-0.246896651,0.140638397,-0.558353265,0.937203069,0.0960745491,-0.335233082,-0.00623447398,1,fitted_bspline,raw_camera_orientation,relative_only
55,16.404964824,-0.24622079,0.141917537,-0.553879343,0.944001944,0.0962819433,-0.315568581,-0.0025666479,1,fitted_bspline,raw_camera_orientation,relative_only
56,16.556291457,-0.243785822,0.142804358,-0.547790147,0.950942732,0.096722292,-0.293837175,0.00352615954,1,fitted_bspline,raw_camera_orientation,relative_only
57,16.707618090,-0.241817294,0.143234548,-0.543768801,0.956559947,0.0947400882,-0.275642117,0.00622945826,1,fitted_bspline,raw_camera_orientation,relative_only
58,16.858944724,-0.242073511,0.143182654,-0.54447732,0.958946205,0.0972242692,-0.266317088,0.0066952575,1,fitted_bspline,raw_camera_orientation,relative_only
59,17.010271357,-0.24444381,0.142778662,-0.548493296,0.963259725,0.105060037,-0.246835878,0.0128506755,1,fitted_bspline,raw_camera_orientation,relative_only
60,17.161597990,-0.248350285,0.142191418,-0.553373214,0.967682916,0.106158127,-0.228190743,0.0157864258,1,fitted_bspline,raw_camera_orientation,relative_only
61,17.312924623,-0.253166528,0.141589766,-0.55732055,0.969729905,0.104467086,-0.219601914,0.0220349272,1,fitted_bspline,raw_camera_orientation,relative_only
62,17.464251256,-0.258072117,0.141142551,-0.56112675,0.96736546,0.119177405,-0.222510301,0.0221354874,1,fitted_bspline,raw_camera_orientation,relative_only
