frame_index,timestamp_sec,x_rel,y_rel,z_rel,qw,qx,qy,qz,confidence,layer,orientation_source,scale_status
0,8.082000000,-2.01344901e-05,3.51091494e-08,-3.28646266e-08,0.999999884,0.00027771132,0.000363992814,-0.000152583603,1,raw,raw_camera_orientation,relative_only
1,8.233326633,0.000619691971,0.00119209697,-0.00573177682,0.999997214,0.00218035018,0.000820442187,-0.00038147006,1,raw,raw_camera_orientation,relative_only
2,8.384653266,0.0013461468,0.00337434607,-0.0154052498,0.999991346,0.00135866042,-0.00390218843,-0.000484428477,1,raw,raw_camera_orientation,relative_only
3,8.535979899,0.00384077709,0.00509436429,-0.0277138185,0.999625048,0.00343624286,-0.0224017775,-0.0153660733,1,raw,raw_camera_orientation,relative_only
4,8.687306533,0.00491945865,0.007425474,-0.0379524231,0.998093889,0.00424687567,-0.053267843,-0.030872165,1,raw,raw_camera_orientation,relative_only
5,8.838633166,0.005853137,0.00886462815,-0.047843501,0.996974167,0.00693890321,-0.0684691074,-0.0361433634,1,raw,raw_camera_orientation,relative_only
6,8.989959799,0.00710863341,0.0116416467,-0.0595678464,0.996228758,0.00643794231,-0.0786690028,-0.0360278056,1,raw,raw_camera_orientation,relative_only
7,9.141286432,0.00680516148,0.0133645916,-0.0681883022,0.99548062,0.0121589353,-0.0869098051,-0.0362929998,1,raw,raw_camera_orientation,relative_only
8,9.292613065,0.00682080723,0.0169065855,-0.0805969313,0.99399681,0.0188818418,-0.101151354,-0.0371782403,1,raw,raw_camera_orientation,relative_only
9,9.443939698,0.00760601833,0.018299073,-0.0889327675,0.992721529,0.0192087625,-0.11293924,-0.037144553,1,raw,raw_camera_orientation,relative_only
10,9.595266332,0.00394750806,0.0212579146,-0.0994199216,0.990898491,0.03496848,-0.122007237,-0.0448510838,1,raw,raw_camera_orientation,relative_only
11,9.746592965,0.00322697498,0.0254927855,-0.115542427,0.987803796,0.0437332551,-0.139982219,-0.0523071826,1,raw,raw_camera_orientation,relative_only
12,9.897919598,0.00301376311,0.0285858549,-0.127205417,0.986834072,0.0485233948,-0.144043715,-0.0552756998,1,raw,raw_camera_orientation,relative_only
13,10.049246231,0.0018026632,0.0307920072,-0.134251148,0.986347319,0.0496148178,-0.14448696,-0.0614886604,1,raw,raw_camera_orientation,relative_only
14,10.200572864,0.00118224462,0.0348498411,-0.144481853,0.985164414,0.036459799,-0.14979518,-0.0753867656,1,raw,raw_camera_orientation,relative_only
15,10.351899497,0.000506798038,0.0398067646,-0.15782766,0.983501836,0.0167165244,-0.157106864,-0.0881029507,1,raw,raw_camera_orientation,relative_only
16,10.503226131,-0.00292582228,0.044001352,-0.170842245,0.981359979,0.0119027454,-0.163562332,-0.100191218,1,raw,raw_camera_orientation,relative_only
17,10.654552764,-0.00366365048,0.046663668,-0.178232729,0.979795043,0.00607111102,-0.169090721,-0.106644937,1,raw,raw_camera_orientation,relative_only
18,10.805879397,-0.00718188751,0.0492838435,-0.188821733,0.977187473,0.0109558288,-0.175502052,-0.119095094,1,raw,raw_camera_orientation,relative_only
19,10.957206030,-0.0107873939,0.0516087115,-0.196131244,0.974661023,0.0129351061,-0.183194639,-0.127703947,1,raw,raw_camera_orientation,relative_only
20,11.108532663,-0.0120345196,0.0545048527,-0.204402998,0.9729871,0.0105635716,-0.194045986,-0.124622103,1,raw,raw_camera_orientation,relative_only
21,11.259859296,-0.0150127131,0.0561607815,-0.210528985,0.972047862,0.0214010222,-0.198474604,-0.123583097,1,raw,raw_camera_orientation,relative_only
22,11.411185930,-0.020767998,0.0605624281,-0.221641824,0.970314149,0.0396590995,-0.20816042,-0.116562638,1,raw,raw_camera_orientation,relative_only
23,11.562512563,-0.0249044187,0.0643453002,-0.235235602,0.967938848,0.0437305685,-0.217202458,-0.118343215,1,raw,raw_camera_orientation,relative_only
24,11.713839196,-0.0286620073,0.0682827979,-0.246685162,0.965644688,0.0433648708,-0.22823091,-0.116449461,1,raw,raw_camera_orientation,relative_only
25,11.865165829,-0.0355043635,0.0746660307,-0.260721862,0.963155986,0.0426117327,-0.237508226,-0.118762915,1,raw,raw_camera_orientation,relative_only
26,12.016492462,-0.0400671735,0.0753486753,-0.265643179,0.962635998,0.0429835963,-0.240490294,-0.116827925,1,raw,raw_camera_orientation,relative_only
27,12.167819095,-0.0451770276,0.0795469582,-0.281510174,0.961309357,0.0420188793,-0.246606272,-0.115343316,1,raw,raw_camera_orientation,relative_only
28,12.319145729,-0.0487664789,0.0813676193,-0.288704783,0.960694162,0.0413140299,-0.248751645,-0.116114154,1,raw,raw_camera_orientation,relative_only
29,12.470472362,-0.0544351637,0.0836989954,-0.298339069,0.960277619,0.040929259,-0.250292034,-0.116385514,1,raw,raw_camera_orientation,relative_only
30,12.621798995,-0.0626924336,0.0863385201,-0.306567311,0.958946875,0.0404037044,-0.255503154,-0.116217768,1,raw,raw_camera_orientation,relative_only
31,12.773125628,-0.0687639192,0.0886873007,-0.314161599,0.955993736,0.0390396959,-0.266223422,-0.116948574,1,raw,raw_camera_orientation,relative_only
32,12.924452261,-0.0741318017,0.0901476815,-0.324281543,0.953856129,0.0415077666,-0.272740188,-0.118525863,1,raw,raw_camera_orientation,relative_only
