frame_index,timestamp_sec,x_rel,y_rel,z_rel,qw,qx,qy,qz,confidence,layer,orientation_source,scale_status
0,8.082000000,-2.01344901e-05,3.51091494e-08,-3.28646266e-08,0.999999884,0.00027771132,0.000363992814,-0.000152583603,1,filtered_kalman,raw_camera_orientation,relative_only
1,8.233326633,0.000619691971,0.00119209697,-0.00573177682,0.999997214,0.00218035018,0.000820442187,-0.00038147006,1,filtered_kalman,raw_camera_orientation,relative_only
2,8.384653266,0.0013314176,0.00320598705,-0.0147350476,0.999991346,0.00135866042,-0.00390218843,-0.000484428477,1,filtered_kalman,raw_camera_orientation,relative_only
3,8.535979899,0.00329060529,0.00503275093,-0.0261205701,0.999625048,0.00343624286,-0.0224017775,-0.0153660733,1,filtered_kalman,raw_camera_orientation,relative_only
4,8.687306533,0.00475943062,0.00716604536,-0.0369270581,0.998093889,0.00424687567,-0.053267843,-0.030872165,1,filtered_kalman,raw_camera_orientation,relative_only
5,8.838633166,0.00595577499,0.00894839489,-0.0473035482,0.996974167,0.00693890321,-0.0684691074,-0.0361433634,1,filtered_kalman,raw_camera_orientation,relative_only
6,8.989959799,0.00717589207,0.0111893959,-0.0583249867,0.996228758,0.00643794231,-0.0786690028,-0.0360278056,1,filtered_kalman,raw_camera_orientation,relative_only
7,9.141286432,0.00775945061,0.0132271826,-0.0683808508,0.99548062,0.0121589353,-0.0869098051,-0.0362929998,1,filtered_kalman,raw_camera_orientation,relative_only
8,9.292613065,0.00810725927,0.0158361931,-0.0793211103,0.99399681,0.0188818418,-0.101151354,-0.0371782403,1,filtered_kalman,raw_camera_orientation,relative_only
9,9.443939698,0.0085827389,0.0180444808,-0.0893849853,0.992721529,0.0192087625,-0.11293924,-0.037144553,1,filtered_kalman,raw_camera_orientation,relative_only
10,9.595266332,0.00772816422,0.0204954204,-0.0995766716,0.990898491,0.03496848,-0.122007237,-0.0448510838,1,filtered_kalman,raw_camera_orientation,relative_only
11,9.746592965,0.00686461673,0.023482136,-0.11151506,0.987803796,0.0437332551,-0.139982219,-0.0523071826,1,filtered_kalman,raw_camera_orientation,relative_only
12,9.897919598,0.00613973363,0.0265201718,-0.123422067,0.986834072,0.0485233948,-0.144043715,-0.0552756998,1,filtered_kalman,raw_camera_orientation,relative_only
13,10.049246231,0.00526004861,0.029363983,-0.134115128,0.986347319,0.0496148178,-0.14448696,-0.0614886604,1,filtered_kalman,raw_camera_orientation,relative_only
14,10.200572864,0.00441419911,0.0325130758,-0.144697591,0.985164414,0.036459799,-0.14979518,-0.0753867656,1,filtered_kalman,raw_camera_orientation,relative_only
15,10.351899497,0.00358342144,0.0360914211,-0.155908329,0.983501836,0.0167165244,-0.157106864,-0.0881029507,1,filtered_kalman,raw_camera_orientation,relative_only
16,10.503226131,0.00217136367,0.0398269653,-0.16752067,0.981359979,0.0119027454,-0.163562332,-0.100191218,1,filtered_kalman,raw_camera_orientation,relative_only
17,10.654552764,0.000867491356,0.0433672621,-0.178288332,0.979795043,0.00607111102,-0.169090721,-0.106644937,1,filtered_kalman,raw_camera_orientation,relative_only
18,10.805879397,-0.000891442763,0.0467457318,-0.18902091,0.977187473,0.0109558288,-0.175502052,-0.119095094,1,filtered_kalman,raw_camera_orientation,relative_only
19,10.957206030,-0.00302326412,0.0499406229,-0.199116837,0.974661023,0.0129351061,-0.183194639,-0.127703947,1,filtered_kalman,raw_camera_orientation,relative_only
20,11.108532663,-0.00503167727,0.0530897115,-0.208876071,0.9729871,0.0105635716,-0.194045986,-0.124622103,1,filtered_kalman,raw_camera_orientation,relative_only
21,11.259859296,-0.0072325943,0.0559906185,-0.218000122,0.972047862,0.0214010222,-0.198474604,-0.123583097,1,filtered_kalman,raw_camera_orientation,relative_only
22,11.411185930,-0.0100412134,0.0591368257,-0.227421357,0.970314149,0.0396590995,-0.20816042,-0.116562638,1,filtered_kalman,raw_camera_orientation,relative_only
23,11.562512563,-0.0130936113,0.0623875286,-0.23747702,0.967938848,0.0437305685,-0.217202458,-0.118343215,1,filtered_kalman,raw_camera_orientation,relative_only
24,11.713839196,-0.0162886728,0.0657478026,-0.247735941,0.965644688,0.0433648708,-0.22823091,-0.116449461,1,filtered_kalman,raw_camera_orientation,relative_only
25,11.865165829,-0.0200489339,0.0695545302,-0.258540773,0.963155986,0.0426117327,-0.237508226,-0.118762915,1,filtered_kalman,raw_camera_orientation,relative_only
26,12.016492462,-0.023962611,0.0729367502,-0.268526442,0.962635998,0.0429835963,-0.240490294,-0.116827925,1,filtered_kalman,raw_camera_orientation,relative_only
27,12.167819095,-0.028078,0.0764354613,-0.279301737,0.961309357,0.0420188793,-0.246606272,-0.115343316,1,filtered_kalman,raw_camera_orientation,relative_only
28,12.319145729,-0.0321637838,0.0797214439,-0.289612918,0.960694162,0.0413140299,-0.248751645,-0.116114154,1,filtered_kalman,raw_camera_orientation,relative_only
29,12.470472362,-0.0364861153,0.082889845,-0.29983626,0.960277619,0.040929259,-0.250292034,-0.116385514,1,filtered_kalman,raw_camera_orientation,relative_only
30,12.621798995,-0.0413285702,0.0859948344,-0.309811218,0.958946875,0.0404037044,-0.255503154,-0.116217768,1,filtered_kalman,raw_camera_orientation,relative_only
31,12.773125628,-0.0463581356,0.0890102454,-0.319495975,0.955993736,0.0390396959,-0.266223422,-0.116948574,1,filtered_kalman,raw_camera_orientation,relative_only
32,12.924452261,-0.0514668421,0.0918449078,-0.329221646,0.953856129,0.0415077666,-0.272740188,-0.118525863,1,filtered_kalman,raw_camera_orientation,relative_only
33,13.075778894,-0.0567074003,0.0948934051,-0.338857225,0.951900417,0.0405665921,-0.279463679,-0.118911729,1,filtered_kalman,raw_camera_orientation,relative_only
34,13.227105528,-0.0623008933,0.0976601157,-0.348359424,0.951056305,0.0397772999,-0.283353726,-0.116706202,1,filtered_kalman,raw_camera_orientation,relative_only
35,13.378432161,-0.0681421299,0.100464808,-0.358208022,0.947633949,0.0432154831,-0.293742012,-0.11763482,1,filtered_kalman,raw_camera_orientation,relative_only
36,13.529758794,-0.0737023279,0.103090679,-0.36729119,0.947801092,0.0481173932,-0.293640557,-0.114599435,1,filtered_kalman,raw_camera_orientation,relative_only
37,13.681085427,-0.0802061677,0.105560933,-0.37645911,0.946602704,0.0504260048,-0.297742425,-0.112915839,1,filtered_kalman,raw_camera_orientation,relative_only
38,13.832412060,-0.0869202172,0.10797612,-0.385747421,0.945542572,0.0522086077,-0.301341878,-0.1114297,1,filtered_kalman,raw_camera_orientation,relative_only
39,13.983738693,-0.0939211789,0.110091367,-0.39469974,0.943293057,0.0696269532,-0.307421488,-0.104126482,1,filtered_kalman,raw_camera_orientation,relative_only
40,14.135065327,-0.100934848,0.112670375,-0.404566504,0.939799927,0.0768441072,-0.318260418,-0.0978845542,1,filtered_kalman,raw_camera_orientation,relative_only
41,14.286391960,-0.108196195,0.115213719,-0.414472817,0.939695075,0.0794286946,-0.31708191,-0.10061467,1,filtered_kalman,raw_camera_orientation,relative_only
42,14.437718593,-0.115696518,0.117640196,-0.424255775,0.938775434,0.0792671948,-0.321014771,-0.0967828155,1,filtered_kalman,raw_camera_orientation,relative_only
43,14.589045226,-0.123305431,0.120235744,-0.434169474,0.937291431,0.0786255116,-0.324747122,-0.0992073996,1,filtered_kalman,raw_camera_orientation,relative_only
44,14.740371859,-0.130288905,0.122529841,-0.442903495,0.935617182,0.082754225,-0.329943727,-0.0943894232,1,filtered_kalman,raw_camera_orientation,relative_only
45,14.891698492,-0.137072677,0.124582339,-0.450488152,0.936428813,0.0830032643,-0.329358366,-0.0879465908,1,filtered_kalman,raw_camera_orientation,relative_only
46,15.043025126,-0.144285092,0.127220241,-0.460363323,0.936494346,0.0795362279,-0.330861042,-0.0847543515,1,filtered_kalman,raw_camera_orientation,relative_only
