frame_index,timestamp_sec,x_rel,y_rel,z_rel,qw,qx,qy,qz,confidence,layer,orientation_source,scale_status
0,8.082000000,-0.0818546149,0.0723219487,-0.253877407,0.999999884,0.00027771132,0.000363992814,-0.000152583603,1,smoothed_rts,raw_camera_orientation,relative_only
1,8.233326633,-0.083373249,0.0732463823,-0.257393804,0.999997214,0.00218035018,0.000820442187,-0.00038147006,1,smoothed_rts,raw_camera_orientation,relative_only
2,8.384653266,-0.0848918829,0.0741708158,-0.260910201,0.999991346,0.00135866042,-0.00390218843,-0.000484428477,1,smoothed_rts,raw_camera_orientation,relative_only
3,8.535979899,-0.0864105165,0.0750952489,-0.264426596,0.999625048,0.00343624286,-0.0224017775,-0.0153660733,1,smoothed_rts,raw_camera_orientation,relative_only
4,8.687306533,-0.0879291493,0.0760196814,-0.267942989,0.998093889,0.00424687567,-0.053267843,-0.030872165,1,smoothed_rts,raw_camera_orientation,relative_only
5,8.838633166,-0.0894477809,0.0769441128,-0.271459378,0.996974167,0.00693890321,-0.0684691074,-0.0361433634,1,smoothed_rts,raw_camera_orientation,relative_only
6,8.989959799,-0.0909664106,0.0778685427,-0.274975763,0.996228758,0.00643794231,-0.0786690028,-0.0360278056,1,smoothed_rts,raw_camera_orientation,relative_only
7,9.141286432,-0.0924850378,0.0787929705,-0.278492139,0.99548062,0.0121589353,-0.0869098051,-0.0362929998,1,smoothed_rts,raw_camera_orientation,relative_only
8,9.292613065,-0.0940036614,0.0797173954,-0.282008506,0.99399681,0.0188818418,-0.101151354,-0.0371782403,1,smoothed_rts,raw_camera_orientation,relative_only
9,9.443939698,-0.0955222805,0.0806418167,-0.285524861,0.992721529,0.0192087625,-0.11293924,-0.037144553,1,smoothed_rts,raw_camera_orientation,relative_only
10,9.595266332,-0.097040894,0.0815662335,-0.2890412,0.990898491,0.03496848,-0.122007237,-0.0448510838,1,smoothed_rts,raw_camera_orientation,relative_only
11,9.746592965,-0.0985595004,0.0824906449,-0.292557521,0.987803796,0.0437332551,-0.139982219,-0.0523071826,1,smoothed_rts,raw_camera_orientation,relative_only
12,9.897919598,-0.100078098,0.0834150498,-0.29607382,0.986834072,0.0485233948,-0.144043715,-0.0552756998,1,smoothed_rts,raw_camera_orientation,relative_only
13,10.049246231,-0.101596686,0.0843394471,-0.299590093,0.986347319,0.0496148178,-0.14448696,-0.0614886604,1,smoothed_rts,raw_camera_orientation,relative_only
14,10.200572864,-0.103115262,0.0852638355,-0.303106336,0.985164414,0.036459799,-0.14979518,-0.0753867656,1,smoothed_rts,raw_camera_orientation,relative_only
15,10.351899497,-0.104633825,0.0861882138,-0.306622546,0.983501836,0.0167165244,-0.157106864,-0.0881029507,1,smoothed_rts,raw_camera_orientation,relative_only
16,10.503226131,-0.106152371,0.0871125807,-0.310138717,0.981359979,0.0119027454,-0.163562332,-0.100191218,1,smoothed_rts,raw_camera_orientation,relative_only
17,10.654552764,-0.1076709,0.0880369347,-0.313654846,0.979795043,0.00607111102,-0.169090721,-0.106644937,1,smoothed_rts,raw_camera_orientation,relative_only
18,10.805879397,-0.109189408,0.0889612744,-0.317170926,0.977187473,0.0109558288,-0.175502052,-0.119095094,1,smoothed_rts,raw_camera_orientation,relative_only
19,10.957206030,-0.110707893,0.0898855981,-0.320686954,0.974661023,0.0129351061,-0.183194639,-0.127703947,1,smoothed_rts,raw_camera_orientation,relative_only
20,11.108532663,-0.112226353,0.0908099044,-0.324202924,0.9729871,0.0105635716,-0.194045986,-0.124622103,1,smoothed_rts,raw_camera_orientation,relative_only
21,11.259859296,-0.113744785,0.0917341915,-0.32771883,0.972047862,0.0214010222,-0.198474604,-0.123583097,1,smoothed_rts,raw_camera_orientation,relative_only
22,11.411185930,-0.115263185,0.0926584578,-0.331234667,0.970314149,0.0396590995,-0.20816042,-0.116562638,1,smoothed_rts,raw_camera_orientation,relative_only
23,11.562512563,-0.116781552,0.0935827015,-0.33475043,0.967938848,0.0437305685,-0.217202458,-0.118343215,1,smoothed_rts,raw_camera_orientation,relative_only
24,11.713839196,-0.11829988,0.0945069209,-0.338266112,0.965644688,0.0433648708,-0.22823091,-0.116449461,1,smoothed_rts,raw_camera_orientation,relative_only
25,11.865165829,-0.119818169,0.095431114,-0.341781708,0.963155986,0.0426117327,-0.237508226,-0.118762915,1,smoothed_rts,raw_camera_orientation,relative_only
26,12.016492462,-0.121336413,0.096355279,-0.345297211,0.962635998,0.0429835963,-0.240490294,-0.116827925,1,smoothed_rts,raw_camera_orientation,relative_only
27,12.167819095,-0.122854609,0.0972794141,-0.348812615,0.961309357,0.0420188793,-0.246606272,-0.115343316,1,smoothed_rts,raw_camera_orientation,relative_only
28,12.319145729,-0.124372754,0.0982035172,-0.352327914,0.960694162,0.0413140299,-0.248751645,-0.116114154,1,smoothed_rts,raw_camera_orientation,relative_only
29,12.470472362,-0.125890844,0.0991275864,-0.355843101,0.960277619,0.040929259,-0.250292034,-0.116385514,1,smoothed_rts,raw_camera_orientation,relative_only
30,12.621798995,-0.127408874,0.10005162,-0.359358169,0.958946875,0.0404037044,-0.255503154,-0.116217768,1,smoothed_rts,raw_camera_orientation,relative_only
31,12.773125628,-0.128926842,0.100975615,-0.362873113,0.955993736,0.0390396959,-0.266223422,-0.116948574,1,smoothed_rts,raw_camera_orientation,relative_only
32,12.924452261,-0.130444742,0.101899571,-0.366387924,0.953856129,0.0415077666,-0.272740188,-0.118525863,1,smoothed_rts,raw_camera_orientation,relative_only
33,13.075778894,-0.131962571,0.102823485,-0.369902598,0.951900417,0.0405665921,-0.279463679,-0.118911729,1,smoothed_rts,raw_camera_orientation,relative_only
34,13.227105528,-0.133480324,0.103747354,-0.373417126,0.951056305,0.0397772999,-0.283353726,-0.116706202,1,smoothed_rts,raw_camera_orientation,relative_only
35,13.378432161,-0.134997997,0.104671178,-0.376931502,0.947633949,0.0432154831,-0.293742012,-0.11763482,1,smoothed_rts,raw_camera_orientation,relative_only
36,13.529758794,-0.136515586,0.105594953,-0.380445718,0.947801092,0.0481173932,-0.293640557,-0.114599435,1,smoothed_rts,raw_camera_orientation,relative_only
37,13.681085427,-0.138033086,0.106518679,-0.383959768,0.946602704,0.0504260048,-0.297742425,-0.112915839,1,smoothed_rts,raw_camera_orientation,relative_only
38,13.832412060,-0.139550493,0.107442352,-0.387473646,0.945542572,0.0522086077,-0.301341878,-0.1114297,1,smoothed_rts,raw_camera_orientation,relative_only
39,13.983738693,-0.141067802,0.10836597,-0.390987343,0.943293057,0.0696269532,-0.307421488,-0.104126482,1,smoothed_rts,raw_camera_orientation,relative_only
40,14.135065327,-0.142585008,0.109289532,-0.394500853,0.939799927,0.0768441072,-0.318260418,-0.0978845542,1,smoothed_rts,raw_camera_orientation,relative_only
41,14.286391960,-0.144102108,0.110213035,-0.398014168,0.939695075,0.0794286946,-0.31708191,-0.10061467,1,smoothed_rts,raw_camera_orientation,relative_only
42,14.437718593,-0.145619095,0.111136478,-0.401527282,0.938775434,0.0792671948,-0.321014771,-0.0967828155,1,smoothed_rts,raw_camera_orientation,relative_only
43,14.589045226,-0.147135967,0.112059857,-0.405040188,0.937291431,0.0786255116,-0.324747122,-0.0992073996,1,smoothed_rts,raw_camera_orientation,relative_only
44,14.740371859,-0.148652718,0.112983172,-0.408552879,0.935617182,0.082754225,-0.329943727,-0.0943894232,1,smoothed_rts,raw_camera_orientation,relative_only
45,14.891698492,-0.150169343,0.113906419,-0.412065347,0.936428813,0.0830032643,-0.329358366,-0.0879465908,1,smoothed_rts,raw_camera_orientation,relative_only
46,15.043025126,-0.151685839,0.114829597,-0.415577586,0.936494346,0.0795362279,-0.330861042,-0.0847543515,1,smoothed_rts,raw_camera_orientation,relative_only
47,15.194351759,-0.153202201,0.115752704,-0.419089589,0.9352894,0.0847834916,-0.333698851,-0.0817959375,1,smoothed_rts,raw_camera_orientation,relative_only
48,15.345678392,-0.154718423,0.116675737,-0.422601349,0.936009941,0.0852367993,-0.333037924,-0.0755368718,1,smoothed_rts,raw_camera_orientation,relative_only
49,15.497005025,-0.156234503,0.117598695,-0.426112859,0.93666329,0.0828059941,-0.335320407,-0.0580109689,1,smoothed_rts,raw_camera_orientation,relative_only
