frame_index,timestamp_sec,analysis_time_sec,segment_id,segment_index,segment_boundary,tx_relative,ty_relative,tz_relative,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,vx_relative_per_source_s,vy_relative_per_source_s,vz_relative_per_source_s,angular_rate_proxy_deg_per_source_s,pose_valid,confidence,source_layer,coordinate_frame,pose_semantics,scale_status
0,8.082,8.082,segment_000,0,True,-2.0134490114287473e-05,3.5109149365553094e-08,-3.286462657570155e-08,0.9999998835519425,0.00027771131954020445,0.00036399281407245994,-0.00015258360286468376,0.031817015088696304,0.041715358592152085,-0.017473212320909558,0.0,0.0,0.0,0.0,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
1,8.233326633165829,8.233326633165829,segment_000,0,False,0.0006196919712238014,0.0011920969700440764,-0.00573177682235837,0.9999972137102621,0.002180350183484458,0.0008204421874699277,-0.00038147006021330013,0.24981429490068285,0.09411083990593633,-0.04350820274034896,0.0045143451149727435,0.01114909810165155,-0.050900547362335215,1.6711646766294874,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
2,8.384653266331659,8.384653266331659,segment_000,0,False,0.001346146804280579,0.0033743460662662983,-0.015405249781906605,0.999991346110742,0.0013586604158699754,-0.003902188431019005,-0.0004844284770087193,0.15591122284773667,-0.44708310208904356,-0.05612018719165152,0.010642822922414374,0.012893524536255075,-0.07263110661147458,10.48353094694625,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
3,8.535979899497487,8.535979899497487,segment_000,0,False,0.0038407770916819572,0.005094364285469055,-0.027713818475604057,0.9996250479016072,0.003436242858371451,-0.022401777463311824,-0.015366073317934147,0.43349940100623174,-2.560894048522513,-1.7710335577938163,0.011806619123452362,0.013385376559100716,-0.07449836437280843,22.044971119761783,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
4,8.687306532663317,8.687306532663317,segment_000,0,False,0.004919458646327257,0.007425474002957344,-0.037952423095703125,0.9980938885602694,0.00424687566846825,-0.05326784298482623,-0.030872164962002048,0.678014241364945,-6.088840182206381,-3.579376660292369,0.006649060603588702,0.012457370479717554,-0.06651070626190184,19.291921053866194,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
5,8.838633165829146,8.838633165829146,segment_000,0,False,0.0058531370013952255,0.00886462815105915,-0.04784350097179413,0.9969741672857086,0.0069389032060349,-0.068469107413739,-0.036143363391237526,1.0864764039911707,-7.817737075380214,-4.2267157174903165,0.007233276503727046,0.013930702891514745,-0.07141975873616488,9.911233373658732,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
6,8.989959798994976,8.989959798994976,segment_000,0,False,0.007108633406460285,0.01164164673537016,-0.05956784635782242,0.9962287579305822,0.006437942310920584,-0.07866900277803361,-0.036027805550719036,1.0729812832323713,-8.991083450727329,-4.226669546417962,0.0031455945941189878,0.014868379050544502,-0.06722148250277048,7.295200833368923,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
7,9.141286432160804,9.141286432160804,segment_000,0,False,0.006805161479860544,0.013364591635763645,-0.06818830221891403,0.9954806197186156,0.012158935312949377,-0.08690980508908175,-0.03629299982192631,1.7752444739725457,-9.912934548877498,-4.329869723502993,-0.0009510096371868591,0.017395942468395813,-0.06948243174695742,9.876031875029835,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
8,9.292613065326634,9.292613065326634,segment_000,0,False,0.006820807233452797,0.016906585544347763,-0.0805969312787056,0.9939968099248302,0.018881841815323003,-0.10115135369109675,-0.03717824034809711,2.6356386638469704,-11.51849594018603,-4.549916446848295,0.0026461199790555026,0.016304074312251796,-0.06854201688597525,10.32243136229486,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
9,9.443939698492462,9.443939698492462,segment_000,0,False,0.0076060183346271515,0.018299072980880737,-0.08893276751041412,0.9927215287299762,0.019208762493642027,-0.11293924040132182,-0.03714455299306185,2.7356418408462324,-12.873980518769462,-4.594358366628627,-0.009493699547875949,0.014377274400998515,-0.062193250335679226,11.020364691672897,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
10,9.595266331658292,9.595266331658292,segment_000,0,False,0.003947508055716753,0.0212579146027565,-0.09941992163658142,0.9908984911552887,0.03496847999493691,-0.1220072371255567,-0.044851083844253674,4.739897666526515,-13.807278699292173,-5.757444066363853,-0.014468845516391788,0.02376882498183913,-0.08792126884164028,16.3875888213802,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
11,9.74659296482412,9.74659296482412,segment_000,0,False,0.003226974979043007,0.02549278549849987,-0.11554242670536041,0.9878037960003464,0.04373325507410021,-0.13998221906889632,-0.05230718260886625,6.02728287227801,-15.781813288329241,-6.898441746535194,-0.0030851969844885867,0.024212328529697555,-0.09180636065940642,11.468374329346158,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
12,9.89791959798995,9.89791959798995,segment_000,0,False,0.0030137631110846996,0.028585854917764664,-0.12720541656017303,0.9868340718145681,0.04852339480580784,-0.14404371516445677,-0.05527569976056951,6.6791592797207056,-16.196363858559078,-7.363360495623915,-0.004706084272306083,0.017509217027463685,-0.06181569103820315,5.175806703520786,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
13,10.049246231155779,10.049246231155779,segment_000,0,False,0.0018026632023975253,0.030792007222771645,-0.13425114750862122,0.9863473185599602,0.049614817791067314,-0.1444869602159568,-0.061488660358542474,6.916504946795067,-16.196184359481688,-8.119680474799223,-0.006051540458628702,0.02069690608602996,-0.05708326329951853,8.362083336838257,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
14,10.20057286432161,10.20057286432161,segment_000,0,False,0.0011822446249425411,0.03484984114766121,-0.1444818526506424,0.98516441410309,0.03645979904400932,-0.1497951795438552,-0.07538676557599627,5.66154294601002,-16.836918668165726,-9.590276542223677,-0.004281682401267466,0.029785759325684825,-0.07789941677662719,14.98629487701406,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
15,10.351899497487437,10.351899497487437,segment_000,0,False,0.0005067980382591486,0.03980676457285881,-0.15782766044139862,0.9835018358306904,0.016716524419502426,-0.15710686427353002,-0.08810295072886387,3.64750632726929,-17.823405585414108,-10.810020594674196,-0.013573509227967412,0.030237608221515107,-0.08709766423471849,12.823521598139337,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
16,10.503226130653267,10.503226130653267,segment_000,0,False,-0.002925822278484702,0.04400135204195976,-0.170842245221138,0.9813599788105578,0.011902745434812685,-0.16356233237235607,-0.10019121752414518,3.395260913324304,-18.580815824632808,-12.214314620624652,-0.013779625013923907,0.022655970368037272,-0.06742061382945,8.79395571471701,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
17,10.654552763819096,10.654552763819096,segment_000,0,False,-0.003663650481030345,0.046663668006658554,-0.17823272943496704,0.9797950433953923,0.006071111022276599,-0.16909072106840267,-0.1066449370450573,2.9124227605188238,-19.272028476536473,-12.9182970228867,-0.014062512154554408,0.01745393832872974,-0.05940622414117189,9.060847141082624,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
18,10.805879396984926,10.805879396984926,segment_000,0,False,-0.00718188751488924,0.049283843487501144,-0.1888217329978943,0.9771874733593419,0.010955828768091445,-0.1755020519673162,-0.11909509427701624,3.8548589904547446,-19.900468727252978,-14.573862797243285,-0.023537639302841806,0.016338972760389276,-0.05913868065515963,11.587287682882032,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
19,10.957206030150754,10.957206030150754,segment_000,0,False,-0.010787393897771835,0.05160871148109436,-0.19613124430179596,0.9746610227619134,0.012935106080926814,-0.18319463898062344,-0.12770394664275442,4.415185752563548,-20.720016318452746,-15.736735577617404,-0.016033635187433667,0.017250794342110937,-0.05148223008048275,7.678318140690403,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
20,11.108532663316584,11.108532663316584,segment_000,0,False,-0.012034519575536251,0.05450485274195671,-0.20440299808979034,0.9729871004620053,0.010563571563995481,-0.19404598618259492,-0.12462210292229872,4.263643121014844,-22.0228031632643,-15.427651331273943,-0.01396092400598068,0.015040544933168948,-0.047571732955616425,6.773108504012524,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
21,11.259859296482412,11.259859296482412,segment_000,0,False,-0.015012713149189949,0.056160781532526016,-0.21052898466587067,0.9720478620174732,0.0214010222497008,-0.19847460397107994,-0.12358309662915178,5.626248208178212,-22.36862370820378,-15.604352038548495,-0.028856382356728855,0.020014901601627715,-0.05695899392912933,12.527902875901981,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
22,11.411185929648243,11.411185929648243,segment_000,0,False,-0.020767997950315475,0.06056242808699608,-0.22164182364940643,0.9703141485236816,0.03965909951558622,-0.20816041981299094,-0.1165626381979023,7.850051182355488,-23.248291728159632,-15.317347705157818,-0.032683293682568774,0.027042558516802564,-0.08163340609925687,11.521033159009558,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
23,11.56251256281407,11.56251256281407,segment_000,0,False,-0.024904418736696243,0.06434530019760132,-0.23523560166358948,0.9679388476880209,0.04373056848004717,-0.21720245829816953,-0.1183432153781125,8.580013186915014,-24.212810618955185,-15.784816679934783,-0.026082683485992207,0.025508959276086183,-0.08274597145689747,8.130905148435627,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
24,11.7138391959799,11.7138391959799,segment_000,0,False,-0.028662007302045822,0.06828279793262482,-0.24668516218662262,0.9656446876917164,0.04336487083257543,-0.22823090955325942,-0.11644946129086807,8.725129703494348,-25.510741376538988,-15.731252635472831,-0.035023394490373776,0.0341008396587532,-0.08420943531008633,7.98572380802013,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
25,11.86516582914573,11.86516582914573,segment_000,0,False,-0.03550436347723007,0.07466603070497513,-0.2607218623161316,0.9631559857523181,0.04261173265761678,-0.23750822570088606,-0.11876291539791908,8.908726871184069,-26.576579478690142,-16.16688444562614,-0.037683935735384554,0.023346443288139708,-0.06263939411530788,4.84647848873337,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
26,12.016492462311557,12.016492462311557,segment_000,0,False,-0.040067173540592194,0.07534867525100708,-0.2656431794166565,0.9626359980472956,0.0429835962841259,-0.24049029435155167,-0.1168279249010038,8.966256897378038,-26.934130294875768,-15.990735523193713,-0.03195955630392083,0.016127126471386838,-0.06868689114206489,3.739877541103815,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
27,12.167819095477387,12.167819095477387,segment_000,0,False,-0.04517702758312225,0.0795469582080841,-0.2815101742744446,0.9613093569573857,0.042018879271887265,-0.24660627227206294,-0.11534331574473371,8.943389961641358,-27.673768471438564,-15.890947770234032,-0.028743470906458995,0.019887259627485755,-0.07619809819746709,3.284960138715263,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
28,12.319145728643218,12.319145728643218,segment_000,0,False,-0.04876647889614105,0.0813676193356514,-0.2887047827243805,0.9606941621933346,0.04131402988365455,-0.24875164484875312,-0.11611415438033029,8.929835862645984,-27.927518248086468,-16.007920072663342,-0.03058990991716485,0.013718791981455003,-0.05560453656803304,1.5482921821835056,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
29,12.470472361809046,12.470472361809046,segment_000,0,False,-0.054435163736343384,0.08369899541139603,-0.2983390688896179,0.9602776190240159,0.040929259017792534,-0.25029203388609567,-0.11638551426609373,8.926742910704835,-28.110435009474525,-16.060143300184798,-0.04601290073061962,0.01642440795253195,-0.059019777909720225,2.6745215648574243,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
30,12.621798994974874,12.621798994974874,segment_000,0,False,-0.06269243359565735,0.08633852005004883,-0.30656731128692627,0.9589468750742994,0.0404037043603821,-0.25550315434273163,-0.11621776791914916,8.979992084451027,-28.72699063618398,-16.12428977383231,-0.047343799100538445,0.016481914539146193,-0.05227939544338751,6.3375540348101636,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
31,12.773125628140704,12.773125628140704,segment_000,0,False,-0.06876391917467117,0.08868730068206787,-0.31416159868240356,0.9559937358372174,0.03903969585715439,-0.26622342166369956,-0.11694857393339088,9.095502213878554,-29.99236372958519,-16.390144753232253,-0.037796942578643154,0.012585892531115944,-0.05852979028130695,7.2183330956631195,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
32,12.924452261306534,12.924452261306534,segment_000,0,False,-0.0741318017244339,0.09014768153429031,-0.3242815434932709,0.9538561292004104,0.04150776660817236,-0.2727401875764647,-0.11852586291087085,9.629379415936345,-30.695162032525786,-16.815160382371072,-0.03736684943877218,0.020549446987648157,-0.06317226550822445,5.694525904167141,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
33,13.075778894472363,13.075778894472363,segment_000,0,False,-0.08007311820983887,0.09490665793418884,-0.33328089118003845,0.9519004172763827,0.04056659205567179,-0.279463678874858,-0.1189117293952428,9.701518641722243,-31.493074360276854,-16.982554853781163,-0.046474479711364,0.017295204394445058,-0.057815093696295866,4.263834879915181,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
