frame_index,timestamp_sec,analysis_time_sec,segment_time_sec,segment_id,segment_index,segment_boundary,time_normalized,segment_time_normalized,speed_relative,acceleration_relative,jerk_proxy,curvature,step_relative,pose_jump,bspline_residual,rts_residual,innovation_norm
1,42.440000000,0.000000000,0.000000000,seg01,1,true,0,0,1.35639816,1.60144699,201.072324,0.81455617,0,false,0.00977780714,0.0296201572,0
2,42.490000000,0.050000000,0.050000000,seg01,1,false,0.0256410256,0.0526315789,1.27210726,4.51936897,33.278119,1.40072204,0.0656756224,false,0.0032911328,0.0189315285,4.33680869e-19
3,42.540000000,0.100000000,0.100000000,seg01,1,false,0.0512820513,0.105263158,0.972177362,3.92611114,92.1616605,3.05898934,0.0616165918,false,0.0136152411,0.0152603714,0.00610038819
4,42.590000000,0.150000000,0.150000000,seg01,1,false,0.0769230769,0.157894737,1.53592575,5.30926769,119.949166,0.883549333,0.0365552707,false,0.0209779449,0.0270397895,0.0321175119
5,42.640000000,0.200000000,0.200000000,seg01,1,false,0.102564103,0.210526316,1.4586118,8.79726353,115.144055,0.671091685,0.117796742,false,0.018819607,0.0386782024,0.0566510104
6,42.690000000,0.250000000,0.250000000,seg01,1,false,0.128205128,0.263157895,0.662721545,6.25282206,157.725761,1.74759113,0.0283974792,false,0.00515903854,0.0138594287,0.0210085599
7,42.740000000,0.300000000,0.300000000,seg01,1,false,0.153846154,0.315789474,0.845632367,6.98563193,104.596424,0.346217615,0.0381833473,false,0.00499274362,0.0057202647,0.0338722551
8,42.790000000,0.350000000,0.350000000,seg01,1,false,0.179487179,0.368421053,1.35644747,4.22192339,128.638542,0.237081875,0.0465410175,false,0.00712816355,0.00912392318,0.0308671285
9,42.840000000,0.400000000,0.400000000,seg01,1,false,0.205128205,0.421052632,1.26449407,5.98461788,82.2356037,0.668212555,0.0895226272,false,0.0126314999,0.0298265894,0.0161592186
10,42.890000000,0.450000000,0.450000000,seg01,1,false,0.230769231,0.473684211,0.774345087,4.05707172,128.388636,2.7455149,0.0375688215,false,0.00541437912,0.0139963786,0.0121813712
11,42.940000000,0.500000000,0.500000000,seg01,1,false,0.256410256,0.526315789,0.885543384,6.9817542,86.1093743,1.27893924,0.040148896,false,0.00461895497,0.0126011305,0.026373775
12,42.990000000,0.550000000,0.550000000,seg01,1,false,0.282051282,0.578947368,1.46355163,4.55810885,151.112948,0.730718189,0.0494044529,false,0.0148103453,0.0103918047,0.0280795003
13,43.040000000,0.600000000,0.600000000,seg01,1,false,0.307692308,0.631578947,1.32001119,8.18431987,119.554536,0.86975141,0.0975661076,false,0.0141856351,0.0405123061,0.0272790966
14,43.090000000,0.650000000,0.650000000,seg01,1,false,0.333333333,0.684210526,0.652867184,7.46766849,167.088687,2.91001538,0.0351407457,false,0.00392005397,0.0217155679,0.00611395772
15,43.140000000,0.700000000,0.700000000,seg01,1,false,0.358974359,0.736842105,0.583506236,8.80500619,161.132468,5.21689908,0.0309913044,false,0.00731862115,0.0109775897,0.0295173667
16,43.190000000,0.750000000,0.750000000,seg01,1,false,0.384615385,0.789473684,1.52845603,8.72065612,204.145572,0.149407447,0.0278228434,false,0.0177893694,0.0292330936,0.050534944
17,43.240000000,0.800000000,0.800000000,seg01,1,false,0.41025641,0.842105263,1.45314106,11.6160581,184.845475,0.953537634,0.125147478,false,0.0221422534,0.0437946759,0.0391679932
18,43.290000000,0.850000000,0.850000000,seg01,1,false,0.435897436,0.894736842,0.388605153,9.8134529,156.172407,9.99602694,0.0231747413,false,0.00946559255,0.0147571489,0.021025141
19,43.340000000,0.900000000,0.900000000,seg01,1,false,0.461538462,0.947368421,0.48712195,4.36528181,165.901378,7.42212244,0.0175854508,false,0.00296810831,0.0277308066,0.0471817556
20,43.390000000,0.950000000,0.950000000,seg01,1,false,0.487179487,1,0.759608455,6.93784908,81.3949684,1.77759087,0.0311604605,false,0.0042120896,0.0493842702,0.0607194159
21,67.840000000,1.000000000,0.000000000,seg02,2,true,0.512820513,0,0.689011383,38.0975674,791.759899,43.6982316,0,false,0.00169677964,0.0273591875,0
22,67.890000000,1.050000000,0.050000000,seg02,2,false,0.538461538,0.0526315789,0.677622357,19.3195845,449.418716,32.7255021,0.0100480752,false,0.00725425639,0.0623723379,4.33680869e-19
23,67.940000000,1.100000000,0.100000000,seg02,2,false,0.564102564,0.105263158,1.31270145,12.1973414,273.077891,5.77163069,0.0657855661,false,0.0159190202,0.0767781249,0.0653122382
