frame_index,timestamp_sec,analysis_time_sec,sequence_time_sec,segment_time_sec,segment_id,segment_index,segment_boundary,x_rel,y_rel,z_rel,qw,qx,qy,qz,confidence,layer,orientation_source,scale_status
1,42.440000000,0.000000000,0.000000000,0.000000000,seg01,1,true,-0.000434565707,-1.33725359e-06,-1.5663278e-07,0.999998974,-0.000813407638,-0.000831352234,-0.000836483853,1,filtered_kalman,raw_camera_orientation,relative_only
2,42.490000000,0.050000000,0.050000000,0.050000000,seg01,1,false,0.000298370491,0.000518410874,-0.00889085419,0.998407879,-0.00390503161,-0.00481993954,0.0560644872,1,filtered_kalman,raw_camera_orientation,relative_only
3,42.540000000,0.100000000,0.100000000,0.100000000,seg01,1,false,0.0010022023,0.00150751134,-0.0172776374,0.992442931,-0.0089113818,-0.0113971691,0.12185122,1,filtered_kalman,raw_camera_orientation,relative_only
4,42.590000000,0.150000000,0.150000000,0.150000000,seg01,1,false,0.00113984547,0.0031677484,-0.0229933195,0.982948431,-0.0134425018,-0.0137068554,0.182876469,1,filtered_kalman,raw_camera_orientation,relative_only
5,42.640000000,0.200000000,0.200000000,0.200000000,seg01,1,false,0.000300397383,0.0055374256,-0.0346185799,0.966159284,-0.0161051502,-0.00890317401,0.257288934,1,filtered_kalman,raw_camera_orientation,relative_only
6,42.690000000,0.250000000,0.250000000,0.250000000,seg01,1,false,-0.000602234882,0.00685244692,-0.0422582113,0.964740248,-0.0150938825,-0.0066265964,0.262687108,1,filtered_kalman,raw_camera_orientation,relative_only
7,42.740000000,0.300000000,0.300000000,0.300000000,seg01,1,false,-0.00131142122,0.00803169113,-0.0486691069,0.96271385,-0.0174735679,-0.00748391894,0.269853125,1,filtered_kalman,raw_camera_orientation,relative_only
8,42.790000000,0.350000000,0.350000000,0.350000000,seg01,1,false,-0.0016298999,0.00919884489,-0.0549328831,0.963910434,-0.0205306714,-0.00950596016,0.265263649,1,filtered_kalman,raw_camera_orientation,relative_only
9,42.840000000,0.400000000,0.400000000,0.400000000,seg01,1,false,-0.00239403624,0.0107658267,-0.0632633033,0.967832062,-0.023615209,-0.00653281877,0.250401167,1,filtered_kalman,raw_camera_orientation,relative_only
10,42.890000000,0.450000000,0.450000000,0.450000000,seg01,1,false,-0.00274552046,0.0120400579,-0.0704779225,0.965422936,-0.0230516258,-0.00747609708,0.259559791,1,filtered_kalman,raw_camera_orientation,relative_only
