frame_index,timestamp_sec,analysis_time_sec,segment_id,segment_index,segment_boundary,tx_relative,ty_relative,tz_relative,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,vx_relative_per_source_s,vy_relative_per_source_s,vz_relative_per_source_s,angular_rate_proxy_deg_per_source_s,pose_valid,confidence,source_layer,coordinate_frame,pose_semantics,scale_status
1,0.0,0.0,segment_000,0,True,5.5209467973327264e-05,-2.1905964331381256e-06,-4.752321842715901e-07,0.0016393041355747923,0.999998656336818,2.1092042846940244e-06,-1.435656595012193e-06,179.81214949959755,0.00016491012130089684,0.00024142699384061214,0.0,0.0,0.0,0.0,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
2,0.16666666666666666,0.16666666666666666,segment_000,0,False,-0.0007683095172978938,0.00031802619923837483,0.0024369885213673115,-0.0004955473421445672,0.9998970298230303,0.011470978785361696,-0.00860818387463237,-179.93189494738593,0.9857208773686258,1.315140897497398,-0.0013221593872003723,-0.0011608980141772918,0.0024184164521443563,8.935653121192527,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
3,0.3333333333333333,0.3333333333333333,segment_000,0,False,-0.00038551032776013017,-0.00038915660115890205,0.0008056635851971805,-0.006493086865505202,0.9996755544097352,0.023506464532532974,-0.007353357309854474,-179.23627937953125,0.8248977325626953,2.699518084501333,0.002552174220909364,-0.002597529004560783,0.004690518602728843,6.800820472905031,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
4,0.5,0.5,segment_000,0,False,8.241522300522774e-05,-0.0005478168022818863,0.004000494722276926,-0.0070351696095142,0.9995243111625498,0.029648808553900858,-0.004754569899561249,-179.17799662772285,0.5206795614116242,3.4018587932275355,-0.0014597157714888453,0.0013316478762135375,0.00464423670200631,7.206214348577971,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
5,0.6666666666666666,0.6666666666666666,segment_000,0,False,-0.0008720822515897453,5.472602424561046e-05,0.0023537424858659506,-0.004255180309048912,0.9994372391452832,0.03099969929115173,0.012087890388720126,-179.55546943269522,-1.3996455806667008,3.5477350415090663,0.0010643374262144787,-0.00017485173884779212,-0.006156592397019266,10.03786189059832,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
6,0.8333333333333334,0.8333333333333334,segment_000,0,False,0.0004371943650767207,-0.0006061007152311504,0.001948297256603837,-0.009167597969668276,0.9992960003968773,0.02711676897515341,0.02425158919780156,-179.0243510253652,-2.806680297282535,3.0848772074727497,0.004378537880256771,-0.0014341891110234426,-0.0035920967347919937,11.500832184021855,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
7,1.0,1.0,segment_000,0,False,0.0005874303751625121,-0.0004233370127622038,0.0011563769076019526,-0.00658432549665327,0.9984849426612165,0.03032991256957411,0.045437455255587726,-179.40205602244654,-5.229000166125399,3.4524512639030975,0.0012029454228468237,-0.00044696743134409184,-0.0050155382486991576,3.5019870818862864,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
8,1.1666666666666667,1.1666666666666667,segment_000,0,False,0.0008381761726923287,-0.0007550898590125144,0.00027645117370411754,-0.003192134864890754,0.9993177010531916,0.02105108807052818,0.03017936924150808,-179.70672121336753,-3.4657547779304663,2.4046942810104444,0.0014595961547456684,-0.001963915099622682,0.0014064990682527425,7.888803706170153,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
9,1.3333333333333333,1.3333333333333333,segment_000,0,False,0.0010739624267444015,-0.0010779753793030977,0.0016252099303528666,-0.005553130522527582,0.9994773876587277,0.01915073668885635,0.02544334067215349,-179.41905830385767,-2.927528416073141,2.1805466435391754,0.0010067348484881224,-0.0008188094361685219,-0.004628213995601983,5.485762522956115,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
10,1.5,1.5,segment_000,0,False,0.0011737544555217028,-0.001028026337735355,-0.0012662868248298764,-0.008221402496512275,0.9996411664587974,0.020574197004593845,0.015054875605641739,-179.09327060928294,-1.7441950221727067,2.3443400198135182,0.00022871349938213814,0.0037670037854695675,-0.023053878103382875,11.101043188109992,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
11,1.6666666666666667,1.6666666666666667,segment_000,0,False,0.0011502002598717809,0.0001776925491867587,-0.006059416104108095,-0.006716452222331821,0.9996779969058001,0.02358448890169741,-0.006524082709324941,-179.21287871244851,0.7292319936507929,2.707961660594728,-0.00029233423992991453,0.003210916918760632,-0.020113625214435164,10.423173157836908,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
12,1.8333333333333333,1.8333333333333333,segment_000,0,False,0.001076309708878398,4.227930185152218e-05,-0.00797082856297493,-0.010987426410673514,0.999564288426325,0.02289244763192768,-0.015048109684075437,-178.7013274154817,1.695059155731117,2.6431784696093845,0.0024074376560747628,-0.001336865403573029,-0.0014925333671271805,2.4995720529152474,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
13,2.0,2.0,segment_000,0,False,0.0019526794785633683,-0.0002679292520042509,-0.006556927226483822,-0.01153597869687375,0.9995505176431756,0.025058563804333342,-0.011736790652861814,-178.6444847925582,1.311321529143983,2.8877026990745445,0.0017094098730012779,-0.0016267024693661374,-0.002194125205278397,2.1900384858658795,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
