frame_index,timestamp_sec,analysis_time_sec,segment_id,segment_index,segment_boundary,tx_relative,ty_relative,tz_relative,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,vx_relative_per_source_s,vy_relative_per_source_s,vz_relative_per_source_s,angular_rate_proxy_deg_per_source_s,pose_valid,confidence,source_layer,coordinate_frame,pose_semantics,scale_status
1,0.0,0.0,segment_000,0,True,-0.0006927844951860607,6.487422297141165e-07,1.6798458091216162e-06,0.0012318312999728318,0.9999992412854145,3.3831608500541607e-06,-2.9661703729679674e-06,179.85884249632883,0.00034037538791520855,0.0003872626850112004,0.0,0.0,0.0,0.0,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
2,0.16666666666666666,0.16666666666666666,segment_000,0,False,0.0004073742020409554,-0.0011119756381958723,-0.0027038343250751495,-0.004790681124886871,0.9999563013447172,-0.006419610954685458,0.0048201006776983505,-179.4474726349508,-0.5488029221774148,-0.7383014784087124,0.00579120236216113,-0.006391977421003503,-0.012013033649054705,4.864815989428126,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
3,0.3333333333333333,0.3333333333333333,segment_000,0,False,0.0012376162922009826,-0.002130010398104787,-0.00400266470387578,0.0051253228560762506,0.9998941305462229,-0.012646020012486573,0.005053409015493051,179.42002619019812,-0.5864541953890494,-1.4462350884649504,0.00323175496305339,-0.0031961272470653053,-0.00869345013052225,4.176341017448825,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
4,0.5,0.5,segment_000,0,False,0.0014846258563920856,-0.002177351387217641,-0.005601651035249233,0.004358956430363942,0.9998906028124434,-0.013983195962434584,0.002062071017958153,179.50384853079777,-0.24325541441962156,-1.6013738393437964,0.0021283768583089113,-0.001159090083092451,-0.01349770138040185,5.55517616002773,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
5,0.6666666666666666,0.6666666666666666,segment_000,0,False,0.0019470752449706197,-0.002516373759135604,-0.008501898497343063,-0.004920975121812934,0.9999361093458006,-0.007740069931319953,-0.006607007468735963,-179.44193577616235,0.7614459706828791,-0.8832772890224136,0.003734268830157816,-0.004093555966392159,-0.015443497337400912,11.729169774187186,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
6,0.8333333333333334,0.8333333333333334,segment_000,0,False,0.0027293821331113577,-0.003541870042681694,-0.010749483481049538,-0.02279683599734288,0.9996770481999612,0.0016798005258924593,-0.011103235605718707,-177.38483366066026,1.2676414045317355,0.22148881356406988,0.002213481464423239,-0.00596937141381204,-0.013171283528208731,11.66448322845433,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
7,1.0,1.0,segment_000,0,False,0.002684902399778366,-0.004506164230406284,-0.012892326340079308,-0.0375572728934278,0.9992356390670671,-9.720548963746417e-05,-0.010843404545222611,-175.69460258077362,1.2421285089626732,0.03554520429700427,8.85268673300743e-06,0.00041888630948960776,-0.019949605688452717,11.654744987839441,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
8,1.1666666666666667,1.1666666666666667,segment_000,0,False,0.002732333028689027,-0.0034022412728518248,-0.01739935204386711,-0.04376184180076195,0.9983727094764915,0.0159861051210974,-0.03288280124672653,-174.91602328099154,3.6843321319120177,1.9983246988286534,0.001142739783972502,0.002178859664127231,-0.021764986217021946,16.872600533715623,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
9,1.3333333333333333,1.3333333333333333,segment_000,0,False,0.0030658156611025333,-0.0037798776756972075,-0.02014732174575329,-0.05916643919955137,0.9968131824056657,0.01673494667970109,-0.05082079706539901,-173.09338088184703,5.701015533824556,2.2679429765814922,0.0003027529455721379,0.0011022461112588646,-0.012811973690986637,19.397473298519753,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
10,1.5,1.5,segment_000,0,False,0.0028332506772130728,-0.0030348259024322033,-0.021670009940862656,-0.06095925336432674,0.9942024088098186,0.02317652202139867,-0.0854891137690053,-172.7059993885919,9.622812948444858,3.2856185980621513,0.002786442171782254,0.0034728634636849148,-0.010775215923786158,22.044333664405556,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
11,1.6666666666666667,1.6666666666666667,segment_000,0,False,0.003994629718363285,-0.0026222565211355686,-0.023739060387015343,-0.06544597281069808,0.9910409454252234,0.02992631281189267,-0.11251259900573636,-171.96076108691665,12.655711603203683,4.35219668133195,0.0008897997904568913,0.005621163407340647,-0.01206857152283192,35.44157202390448,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
12,1.8333333333333333,1.8333333333333333,segment_000,0,False,0.00312985060736537,-0.001161104766651988,-0.02569286711513996,-0.05334467698314044,0.9803110266757233,0.052190781274194284,-0.18281345345882777,-172.40482162754586,20.662338728473863,7.481496073507472,0.003538060002028943,0.008269427067716608,-0.017060972750186924,71.7909075011981,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
13,2.0,2.0,segment_000,0,False,0.0051739830523729324,0.00013421916810330003,-0.029426051303744316,-0.03791224666975411,0.9477456805595914,0.09318548504903537,-0.3027494870503745,-171.04182626108243,34.5269138163016,14.019949796729035,0.0023616305552423005,0.005553003866225482,-0.011351857334375383,63.5720667060617,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
14,2.1666666666666665,2.1666666666666665,segment_000,0,False,0.0039170607924461365,0.000689896522089839,-0.029476819559931755,-0.03098776157867303,0.9317664559817312,0.10899693178805386,-0.3449212939213499,-170.08009780819546,39.49545740553325,16.913070502082963,-0.0023357304744422427,0.004135464128921738,-0.006725588813424108,22.446836432085632,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
15,2.3333333333333335,2.3333333333333335,segment_000,0,False,0.004395406227558851,0.0015127072110772133,-0.03166791424155235,-0.026904742651386333,0.926334624149649,0.10565213152508107,-0.3605799856184455,-170.31501976811484,41.47937220892636,16.688202187635923,-0.000377652235329151,0.004815578693524001,-0.012827681377530093,75.51692622852751,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
16,2.5,2.5,segment_000,0,False,0.003791176714003086,0.0022950894199311733,-0.03375271335244179,-0.028414482932878325,0.8694345316663453,0.20448325534605585,-0.44884608786181895,-158.6322025268733,50.25198675660351,36.58253662072563,-0.0034758460242301256,0.003467705100774768,-0.009423192590475091,162.80382155004068,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
17,2.6666666666666665,2.6666666666666665,segment_000,0,False,0.0032367908861488104,0.0026686089113354683,-0.03480897843837738,-0.03825897219468095,0.8003483899628249,0.2837015365075021,-0.5267752309228324,-140.83297325748129,55.2351479599973,60.12317582585778,-0.002895568264648317,0.0013198556844145053,-0.006685327738523481,184.5159500682957,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
18,2.8333333333333335,2.8333333333333335,segment_000,0,False,0.0028259872924536467,0.0027350413147360086,-0.035981155931949615,-0.0297693631564134,0.7263840100567805,0.30588155638502723,-0.6147491589376645,-120.03021102777032,61.03031788845745,83.23677342064127,-0.006819535628892479,0.002473533852025865,-0.009027678519487378,189.64460802647648,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
19,3.0,3.0,segment_000,0,False,0.0009636123431846499,0.0034931201953440905,-0.03781820461153984,0.02549546677338201,-0.648865019073173,-0.3485015963997036,0.6759221889419199,-99.56445234423988,59.24862109998437,107.84026837071191,-0.008294893548736589,-0.0007810571696609265,-0.0027373954653739955,124.88202911422228,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
20,3.1666666666666665,3.1666666666666665,segment_000,0,False,6.102277620811947e-05,0.0024746889248490334,-0.03689362108707428,0.01270900908911981,-0.6241880068493096,-0.35661101777648735,0.6950225861034134,-93.75379547176063,59.158096222052585,115.46844200868102,-0.007616792921908196,-0.005012887297198174,0.0025448128581047045,47.335422639021,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
21,3.3333333333333335,3.3333333333333335,segment_000,0,False,-0.00157531863078475,0.0018221577629446983,-0.03696993365883827,0.015604958236499312,-0.6066311098167226,-0.35973139229946177,0.7087654811538576,-89.4383911058347,58.069600528166,119.88323489801839,-0.0045483655958378204,-0.0036396811483427865,0.001100007444620132,53.2996637208505,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
22,3.5,3.5,segment_000,0,False,-0.0014550990890711546,0.0012614618754014373,-0.03652695193886757,0.03810845851158562,-0.5555479350467968,-0.393615935411969,0.7314237709049874,-83.27705720780773,51.506772861651605,127.60704438294607,0.001431918237358333,0.0010912958532571801,-0.00430461019277573,22.835376859222983,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
23,3.6666666666666665,3.6666666666666665,segment_000,0,False,-0.001098012551665306,0.002185923047363758,-0.03840480372309685,0.02846874135585394,-0.5703611310784628,-0.4120123404358812,0.7100165788550701,-89.08452512026376,51.85709762222706,124.26717927715588,-0.0025331473443657147,0.005586466169916091,-0.010587684810161585,11.68411461538844,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
24,3.8333333333333335,3.8333333333333335,segment_000,0,False,-0.00229948153719306,0.0031236172653734684,-0.04005618020892143,0.021053593593350007,-0.5660403615519335,-0.40292358603575573,0.7188933433459024,-86.72611038382718,52.8331239664205,126.37677978772228,-0.003665863769128917,0.0020490491297096005,-0.005359746515750882,20.463221231370028,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
25,4.0,4.0,segment_000,0,False,-0.0023199671413749456,0.0028689394239336252,-0.04019138589501381,0.021206935632812667,-0.6030896060250337,-0.37241730304115606,0.7050805240404725,-90.50178280678475,56.580223972432236,119.55437701648164,-0.005027708597481248,-0.0024622434284538018,0.001046005636453628,20.960955075861207,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
26,4.166666666666667,4.166666666666667,segment_000,0,False,-0.0039753844030201435,0.0023028694558888674,-0.03970751166343689,0.008164976043718776,-0.5654509868365792,-0.3716495637266329,0.7362575068775515,-81.38773439564018,55.74758721483863,129.81561760389715,-0.009064882295206198,-0.0017877663485705868,0.007223468273878104,41.45252671753085,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
27,4.333333333333333,4.333333333333333,segment_000,0,False,-0.005341594573110342,0.00227301730774343,-0.03778356313705444,0.008768022793608773,-0.5712181703904058,-0.35988748091035844,0.7376407829534134,-80.72091255614731,56.76154652759175,129.31271968489892,-0.01581278303638102,-0.0038451037835329806,0.006866790354251868,10.819834578526793,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
28,4.5,4.5,segment_000,0,False,-0.009246312081813812,0.0010211681947112083,-0.037418581545352936,0.01798200540455691,-0.5673224235738846,-0.3470179083568046,0.7465925839918,-77.90108761662357,56.57808740432094,130.2171277213109,-0.01889363536611196,-0.0013127216370776272,-0.0019804649055004085,22.03551456776334,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
29,4.666666666666667,4.666666666666667,segment_000,0,False,-0.011639473028481007,0.0018354434287175536,-0.03844371810555458,0.009787656776263155,-0.6007888889231819,-0.3366542605666628,0.7249971183139918,-84.12576171739585,59.83139655501218,123.57385501542582,-0.012959824874997151,0.0021681144135072845,-0.0024529919028282187,9.376086766981778,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
