frame_index,timestamp_sec,analysis_time_sec,segment_id,segment_index,segment_boundary,tx_relative,ty_relative,tz_relative,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,vx_relative_per_source_s,vy_relative_per_source_s,vz_relative_per_source_s,angular_rate_proxy_deg_per_source_s,pose_valid,confidence,source_layer,coordinate_frame,pose_semantics,scale_status
1,0.0,0.0,segment_000,0,True,-0.00043628105777315795,-9.438058441446628e-07,-9.381203653902048e-07,0.0013568449322485633,0.9999990794699802,-4.696801677067073e-06,-2.993698249229145e-06,179.84451697453716,0.0003423219611418293,-0.000538678800300851,0.0,0.0,0.0,0.0,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
2,0.16666666666666666,0.16666666666666666,segment_000,0,False,0.004595354665070772,0.01693064346909523,0.0017936921212822199,0.07829042435817037,0.8890612949835809,0.4486575143246009,-0.04633635781981901,174.3305408075128,8.78011761778936,53.11923793728506,0.007871169276768342,0.1382596420230584,0.009125675677523759,232.93019841615313,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
3,0.3333333333333333,0.3333333333333333,segment_000,0,False,0.002187442034482956,0.046085603535175323,0.0030409537721425295,0.15084807631700958,0.7752413877237198,0.6045184233147862,-0.1039380801470942,173.38278375318095,20.092397566220725,74.71929002425642,-0.025834171101450917,0.12272488698363303,0.010633639292791484,129.16941639775075,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
4,0.5,0.5,segment_000,0,False,-0.0040160357020795345,0.057838939130306244,0.005338238552212715,0.2019941481812294,0.6728157750422658,0.6942967833394231,-0.15642657574512378,176.40688619178422,29.405034908206574,90.85730054140679,0.01028425432741642,0.033434830605983734,0.021041174652054906,228.88952677010505,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
5,0.6666666666666666,0.6666666666666666,segment_000,0,False,0.005615526810288429,0.057230547070503235,0.010054678656160831,0.08976753629197888,0.36073567877484225,0.8769975977174829,-0.30444502473301527,-149.56012311043995,22.154177180180096,141.3802095123554,0.03484675381332635,0.02758178114891052,0.054222609847784035,201.31056372249782,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
6,0.8333333333333334,0.8333333333333334,segment_000,0,False,0.007599548902362585,0.06703286617994308,0.023412441834807396,0.08080218356671247,0.3229303001821082,0.8872324778377688,-0.3193830906998645,-146.6868286498377,20.466373701341762,146.18278304771889,-0.006135046714916824,0.05454786121845245,0.07710072118788956,4.646560841471749,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
7,1.0,1.0,segment_000,0,False,0.0035705112386494875,0.07541316747665405,0.03575491905212402,0.07779384009078422,0.3617705005704116,0.8794534466841518,-0.2993858020620367,-149.81750318269908,20.698479834182297,140.9179885129252,-0.019045330001972612,0.0621543601155281,0.061370769515633576,34.734224374348,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
8,1.1666666666666667,1.1666666666666667,segment_000,0,False,0.0012511055683717132,0.08775098621845245,0.04386936500668526,0.0914532205045227,0.40739478648996097,0.8522786074585192,-0.31509835237385403,-149.4802075944305,24.36990932604164,135.64659495263444,-0.048873115098103895,0.12279119342565539,0.06996216997504236,93.21039553831126,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
9,1.3333333333333333,1.3333333333333333,segment_000,0,False,-0.01272052712738514,0.11634356528520584,0.05907564237713814,0.18687095987963198,0.5261922544633278,0.7851361275230574,-0.26788470832535916,-164.10584676245213,35.124566960868265,117.40024327885854,-0.03382219572085888,0.09859599173069003,0.06444625183939935,108.29129672631733,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
10,1.5,1.5,segment_000,0,False,-0.010022959671914577,0.12061631679534912,0.0653514489531517,0.21046590188480063,0.5722996269300725,0.7508435217950538,-0.25379370941360613,-169.8418315065245,37.34017372214294,108.8104800552174,0.003593629226088522,0.06989154964685437,0.047455955296754816,77.87032034215267,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
11,1.6666666666666667,1.6666666666666667,segment_000,0,False,-0.011522650718688965,0.13964074850082397,0.07489429414272308,0.2555866876848673,0.6252987655225948,0.6956424448827959,-0.24445549245554618,-178.43616122245498,41.39980649089802,96.68750458700477,-0.03377156239002944,0.09046643972396852,0.05347198247909547,85.78264109869906,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
12,1.8333333333333333,1.8333333333333333,segment_000,0,False,-0.02128014713525772,0.15077179670333862,0.08317544311285019,0.2863123976631271,0.6616432027968093,0.6616850677764813,-0.20597658657916731,171.94644718604061,40.65201899050735,87.016124248376,0.0022786064073443417,0.08209387958049776,0.08271901309490205,60.87519349105915,True,1.0,raw,omega_shared,camera_pose_proxy,relative_only
